"fips","region","division","netmig2010","netmig2011","netmig2012","netmig2013","netmig2014","netmig2015","netmig2016","netmig2017","netmig2018","netmig2019"
"19117","Midwest","West North Central",-10,-32,-75,-68,-52,-6,-26,-23,63,-44
"19119","Midwest","West North Central",-11,46,39,-100,-69,-11,-42,-55,-37,-115
"19121","Midwest","West North Central",39,-4,-145,-156,111,84,63,193,199,129
"19123","Midwest","West North Central",-16,10,-114,-24,-105,-119,-170,-2,-230,30
"19125","Midwest","West North Central",-69,-24,0,-289,203,-176,-13,-70,151,-19
"19127","Midwest","West North Central",70,210,-74,-129,-387,-379,-267,-74,-250,-556
"19129","Midwest","West North Central",6,-59,-154,31,-174,84,138,3,-1,37
"19131","Midwest","West North Central",10,-70,27,-31,27,-5,-22,-57,22,11
"19133","Midwest","West North Central",7,57,-87,9,-43,10,-15,-10,-28,7
"19135","Midwest","West North Central",12,82,20,-77,13,3,-71,-2,-21,-59
"19137","Midwest","West North Central",-24,-19,-71,-96,20,-200,-15,3,-100,-16
"19139","Midwest","West North Central",-79,-134,-47,-47,-153,-84,-220,-202,-154,-365
"19141","Midwest","West North Central",-10,-136,-25,-105,12,-91,19,-108,37,-32
"19143","Midwest","West North Central",-10,-117,-121,22,-17,-80,-67,-53,1,-60
"19145","Midwest","West North Central",9,12,-160,-158,-22,27,-101,-60,58,-67
"19147","Midwest","West North Central",-29,-8,-40,-77,-23,44,-89,44,-144,-15
"19149","Midwest","West North Central",-6,-216,-11,64,-71,-48,214,-145,-62,112
"19151","Midwest","West North Central",-23,-50,-60,7,-8,-123,-96,2,-96,-81
"19153","Midwest","West North Central",861,3009,2409,4462,4536,2978,3362,2941,2067,1162
"19155","Midwest","West North Central",120,-276,-932,-320,150,29,-333,-346,-331,-224
"19157","Midwest","West North Central",-8,9,-120,-53,64,-213,-48,117,175,70
"19159","Midwest","West North Central",3,-27,0,-30,3,45,27,51,-66,-35
"19161","Midwest","West North Central",10,-80,-35,-94,35,-46,-126,5,-63,29
"19163","Midwest","West North Central",-161,606,912,1104,276,-152,-506,-274,-223,-416
"19165","Midwest","West North Central",10,-144,40,-133,20,-53,-93,-33,17,-82
"19167","Midwest","West North Central",-36,-12,19,-29,-133,-145,-30,-398,-238,-181
"19169","Midwest","West North Central",-66,982,411,1379,1495,452,-120,29,-839,-14
"19171","Midwest","West North Central",-41,-98,-142,-61,-153,-106,-39,-167,-182,-39
"19173","Midwest","West North Central",-5,-2,-54,-18,-53,60,-42,-84,56,-47
"19175","Midwest","West North Central",-20,35,60,15,39,-163,-42,81,-149,-49
"19177","Midwest","West North Central",-13,-59,-65,-30,-34,-80,-47,-86,-145,40
"19179","Midwest","West North Central",30,-243,-58,64,-95,37,-232,-322,-42,-67
"19181","Midwest","West North Central",50,178,106,290,342,493,723,611,782,309
"19183","Midwest","West North Central",-17,124,47,-39,22,53,-95,87,-196,-143
"19185","Midwest","West North Central",11,-81,15,35,-21,-13,78,34,-89,43
"19187","Midwest","West North Central",-130,-131,-394,34,-249,0,-287,-129,-331,-439
"19189","Midwest","West North Central",-27,-123,-91,-133,92,65,32,-16,-35,-161
"19191","Midwest","West North Central",-2,-8,-9,-164,-137,66,-335,-265,-124,-12
"19193","Midwest","West North Central",32,-264,-1035,-625,-633,-353,-415,-1011,-95,107
"19195","Midwest","West North Central",-10,-10,-56,12,70,-40,-22,-11,-41,-40
"19197","Midwest","West North Central",-26,-125,-22,-10,-71,-62,-16,-50,-55,-121
"20001","Midwest","West North Central",-14,17,-5,-180,-151,-161,7,-106,-32,-107
"20003","Midwest","West North Central",-10,-44,-127,-71,15,-68,1,37,9,4
"20005","Midwest","West North Central",-51,-131,-7,-117,-223,-113,-47,-83,-132,-92
"20007","Midwest","West North Central",-20,48,-56,47,-37,-44,-147,-100,-106,-40
"20009","Midwest","West North Central",-5,-35,-236,-170,-194,-205,-342,-509,-322,-245
"20011","Midwest","West North Central",-14,-224,-84,-68,-73,-73,-118,-1,-61,-37
"20013","Midwest","West North Central",-5,-10,-127,32,-134,-78,-99,-10,-2,-50
"20015","Midwest","West North Central",5,-241,-321,-122,65,260,292,92,-154,-14
"20017","Midwest","West North Central",3,9,-17,-49,-26,4,-12,25,-44,44
"20019","Midwest","West North Central",0,-17,-22,-26,-48,-55,1,-20,0,-42
"20021","Midwest","West North Central",-32,-138,-160,-240,-119,-206,-283,-66,-37,-44
"20023","Midwest","West North Central",-2,-11,-11,21,9,-15,-3,11,-33,26
"20025","Midwest","West North Central",-12,-67,56,9,-50,-13,-12,-61,3,-1
"20027","Midwest","West North Central",17,-5,-25,-136,-83,-12,-182,-91,-16,14
"20029","Midwest","West North Central",9,-96,7,-61,5,-96,-92,-108,-165,79
"20031","Midwest","West North Central",9,-84,-8,-66,9,-79,70,-121,-3,-66
"20033","Midwest","West North Central",4,4,34,23,32,-108,25,-67,-15,-41
"20035","Midwest","West North Central",-47,-91,7,-108,-344,-152,-75,-339,-124,-221
"20037","Midwest","West North Central",-1,-7,63,-155,-103,-209,-143,-151,-81,-183
"20039","Midwest","West North Central",-8,3,-12,29,-5,29,-79,54,2,-25
"20041","Midwest","West North Central",2,-112,77,-243,-138,-96,-222,-106,-130,-215
"20043","Midwest","West North Central",4,-24,-73,-22,-35,-51,-76,-41,21,-56
"20045","Midwest","West North Central",200,654,160,907,1173,1125,978,210,428,729
"20047","Midwest","West North Central",8,-44,-32,-8,62,-69,-49,-10,-45,-26
"20049","Midwest","West North Central",-8,-65,-109,2,48,-96,-51,7,-13,58
"20051","Midwest","West North Central",-39,173,154,-178,-168,-76,-172,-255,-139,-140
"20053","Midwest","West North Central",22,-19,5,-88,15,-5,16,21,-100,-47
"20055","Midwest","West North Central",42,-411,-480,-530,-441,-503,-713,-569,-616,-469
"20057","Midwest","West North Central",92,-50,-199,-211,-406,-749,-477,-720,-678,-602
"20059","Midwest","West North Central",-1,-235,-99,-159,-249,-141,26,110,-61,-127
"20061","Midwest","West North Central",657,-809,1783,-2026,-1240,-662,-2299,-2176,-1650,-1769
"20063","Midwest","West North Central",-3,41,29,50,-36,-54,-73,5,-15,35
"20065","Midwest","West North Central",11,39,-49,14,-32,45,-10,-61,8,27
"20067","Midwest","West North Central",-5,1,-135,-46,-143,-137,-125,-253,-255,-219
"20069","Midwest","West North Central",6,24,-178,-18,38,-14,-79,-42,11,-143
"20071","Midwest","West North Central",11,-8,16,7,13,10,-19,-41,-8,-11
"20073","Midwest","West North Central",-8,-29,-150,-19,-44,-30,-83,3,-29,-14
"20075","Midwest","West North Central",2,-82,-5,-25,18,-108,55,-29,-24,-73
"20077","Midwest","West North Central",-4,-40,-53,-14,-20,-34,-89,-71,-38,-38
"20079","Midwest","West North Central",29,-114,21,-85,-132,196,-70,-331,-197,209
"20081","Midwest","West North Central",10,-64,-57,-117,-59,-28,-87,-20,-60,-50
"20083","Midwest","West North Central",-5,38,-35,-16,-49,-13,-17,16,-28,-21
"20085","Midwest","West North Central",16,-78,-72,-135,99,-182,-50,18,-75,-141
"20087","Midwest","West North Central",11,-185,-73,-103,15,19,19,103,-63,165
"20089","Midwest","West North Central",-2,45,-16,22,-8,-59,-84,-30,-10,38
"20091","Midwest","West North Central",382,3270,2815,3335,2778,3195,2606,2109,3583,1236
"20093","Midwest","West North Central",10,-55,-27,-65,3,-31,-70,13,-29,-141
"20095","Midwest","West North Central",-6,37,-40,13,-131,-14,-180,-34,31,-49
"20097","Midwest","West North Central",12,-22,-47,9,0,24,-79,-28,0,-19
"20099","Midwest","West North Central",-62,-128,-223,-305,-113,-154,-304,-201,-237,-315
"20101","Midwest","West North Central",-8,14,-56,17,-34,-25,-20,-35,16,-7
"20103","Midwest","West North Central",186,196,146,93,57,155,738,542,39,-41
"20105","Midwest","West North Central",-2,0,-51,-13,30,-47,-54,-29,-28,-22
"20107","Midwest","West North Central",-15,-1,-115,97,-5,46,31,108,84,-36
"20109","Midwest","West North Central",10,0,29,-14,5,24,7,-14,-13,-40
"20111","Midwest","West North Central",-117,-103,-255,-226,-467,-128,111,-269,-57,-218
"20113","Midwest","West North Central",-30,54,96,215,-435,-227,-172,312,-96,47
"20115","Midwest","West North Central",-4,-71,-108,-133,31,-57,20,-5,1,-5
"20117","Midwest","West North Central",-11,-98,38,-30,-31,-92,-73,-74,26,-26
"20119","Midwest","West North Central",17,-80,-151,-116,70,-77,-78,7,-136,-71
"20121","Midwest","West North Central",39,-210,-227,93,-66,-127,126,426,232,404
"20123","Midwest","West North Central",-19,-41,39,22,-54,27,-80,-42,-29,-101
"20125","Midwest","West North Central",-98,-545,-387,-42,-371,-673,-526,-392,-225,-229
"20127","Midwest","West North Central",-9,-22,2,-136,-39,-14,-44,-77,77,58
"20129","Midwest","West North Central",-5,-52,-59,-38,-65,-71,-147,-51,-73,-118
"20131","Midwest","West North Central",-14,-59,6,8,-9,-10,-46,-39,14,41
"20133","Midwest","West North Central",-27,-31,-54,-73,-68,-44,-161,-36,-79,-29
"20135","Midwest","West North Central",3,24,-27,4,20,-56,-43,-81,-31,-23
"20137","Midwest","West North Central",5,6,-67,39,-81,20,-43,-62,1,-48
"20139","Midwest","West North Central",-10,51,-153,-63,-88,-47,-24,36,139,51
"20141","Midwest","West North Central",-18,-1,-6,14,-39,-76,-26,-34,-73,-44
"20143","Midwest","West North Central",-8,-24,-4,8,-6,-89,-6,-62,-31,-31
"20145","Midwest","West North Central",-1,15,-113,9,-13,-38,-32,-45,-90,-156
"20147","Midwest","West North Central",-5,-61,-10,30,-52,-73,4,-6,-82,-27
"20149","Midwest","West North Central",47,62,113,67,2,226,292,125,105,23
"20151","Midwest","West North Central",-22,-7,80,10,-13,-104,-150,-63,-159,-185
"20153","Midwest","West North Central",-9,24,8,67,1,-32,8,-13,19,17
"20155","Midwest","West North Central",46,-132,-240,-107,-315,-70,-350,-482,-277,-302
"20157","Midwest","West North Central",-14,0,-12,-29,22,-7,-7,53,10,-13
"20159","Midwest","West North Central",18,-18,-89,-4,14,-67,-144,-195,-74,47
"20161","Midwest","West North Central",223,1095,3126,-1398,-1240,35,-2680,-1804,264,-982
"20163","Midwest","West North Central",-2,14,14,-20,2,-4,-54,-63,-46,-55
"20165","Midwest","West North Central",17,-80,22,-11,15,-49,-16,19,20,-22
"20167","Midwest","West North Central",17,7,8,-11,43,35,-44,-58,-8,-22
"20169","Midwest","West North Central",63,-238,-183,-318,-401,-317,-633,-583,-237,-344
"20171","Midwest","West North Central",25,-63,-43,53,35,-46,22,-43,-39,-85
"20173","Midwest","West North Central",-206,-2027,-583,-1290,-706,-627,-804,-2567,-1941,382
"20175","Midwest","West North Central",-42,-162,-122,-359,-318,-346,-678,-961,-642,-772
"20177","Midwest","West North Central",88,-228,-621,-977,-696,-203,-753,-527,-921,-611
"20179","Midwest","West North Central",-6,-11,-16,13,4,-23,10,40,-10,-12
"20181","Midwest","West North Central",-3,27,63,-44,-25,-111,-21,-6,-45,4
"20183","Midwest","West North Central",9,-46,-8,-14,75,-14,-21,-10,-29,-10
"20185","Midwest","West North Central",-9,-34,-20,17,-55,-50,-32,2,-28,-9
"20187","Midwest","West North Central",11,-42,-68,5,-51,-80,19,-59,-35,-30
"20189","Midwest","West North Central",18,-174,72,18,3,-78,-163,-120,-36,-83
"20191","Midwest","West North Central",-54,-337,-142,-118,-141,2,-228,-84,-95,-180
"20193","Midwest","West North Central",32,-23,-50,-23,-151,10,-80,-66,-172,10
"20195","Midwest","West North Central",3,-44,11,14,-31,12,-38,20,-37,28
"20197","Midwest","West North Central",-10,-18,-50,-12,-106,-68,-21,-58,47,-5
"20199","Midwest","West North Central",3,45,-6,36,-56,4,-9,16,-39,21
"20201","Midwest","West North Central",-10,54,-91,-112,-14,-44,-17,-86,-28,-31
"20203","Midwest","West North Central",3,16,-29,-44,-5,-20,-35,-4,-28,-7
"20205","Midwest","West North Central",-14,-123,-132,-10,-105,-98,-142,3,-37,-140
"20207","Midwest","West North Central",0,27,-39,-19,-18,-19,57,-38,49,-40
"20209","Midwest","West North Central",-153,-1056,9,133,47,100,-255,-935,-917,-945
"21001","South","East South Central",77,222,-41,156,100,-113,56,25,-59,37
"21003","South","East South Central",33,111,29,45,109,168,36,195,219,196
"21005","South","East South Central",33,46,46,4,88,15,208,341,84,65
"21007","South","East South Central",13,15,38,-5,-43,58,-147,10,-3,-82
"21009","South","East South Central",-36,133,229,246,29,468,142,-57,303,98
"21011","South","East South Central",13,106,50,139,126,51,40,95,6,24
"21013","South","East South Central",27,-21,-388,-266,-148,-400,-109,-259,-311,-393
"21015","South","East South Central",271,1373,661,666,752,604,612,771,126,943
"21017","South","East South Central",-13,68,-41,-59,9,103,-40,-20,35,-302
"21019","South","East South Central",57,-148,-185,-303,-114,-352,-327,-210,-407,-471
"21021","South","East South Central",188,152,255,557,152,-18,184,38,122,-16
"21023","South","East South Central",10,-15,-63,-69,-65,-65,73,-76,-16,30
"21025","South","East South Central",11,-66,-163,-62,-126,7,-142,-205,-142,-113
"21027","South","East South Central",17,235,-174,-22,-167,117,-21,139,191,152
"21029","South","East South Central",101,402,426,785,889,444,366,898,606,545
"21031","South","East South Central",17,-5,27,-45,7,-17,-40,112,-43,126
"21033","South","East South Central",9,46,-16,-94,-28,-36,-110,46,50,57
"21035","South","East South Central",158,311,369,405,-1,234,84,85,166,85
"21037","South","East South Central",178,235,-318,-55,195,-86,9,386,305,-131
"21039","South","East South Central",-1,-34,-15,-62,1,-112,-63,20,-62,17
"21041","South","East South Central",-27,137,-154,-64,-130,-73,-74,71,-21,-98
"21043","South","East South Central",-2,-152,-20,-90,-218,-116,-192,-93,-167,-218
"21045","South","East South Central",14,-45,71,-14,-238,-33,34,27,108,252
"21047","South","East South Central",-88,-1556,601,-2260,-1232,-1303,-2283,-1417,-1012,-1088
"21049","South","East South Central",15,-201,202,-141,96,16,154,50,249,72
"21051","South","East South Central",-60,-74,-102,-368,-161,-154,-309,-350,-164,-181
"21053","South","East South Central",1,-73,113,-81,53,14,24,27,-38,53
"21055","South","East South Central",6,-21,-4,-7,2,20,-8,-79,-89,-70
"21057","South","East South Central",5,23,1,-39,-50,56,11,1,14,-41
"21059","South","East South Central",17,130,307,156,-163,760,186,230,150,374
"21061","South","East South Central",39,17,-115,16,-20,23,103,190,49,-64
"21063","South","East South Central",4,-53,-137,-62,-19,6,-62,14,-3,20
"21065","South","East South Central",14,-42,-124,5,22,-30,-10,-56,20,5
"21067","South","East South Central",471,2912,2340,2118,96,2428,2100,814,-1053,-701
"21069","South","East South Central",23,66,23,-1,-58,94,-108,-68,2,59
"21071","South","East South Central",446,-193,-662,-683,-492,-421,-465,-601,-286,-200
"21073","South","East South Central",-2,-11,87,-61,149,295,212,215,241,125
"21075","South","East South Central",10,-53,-161,-121,-107,5,-77,30,-70,-62
"21077","South","East South Central",8,-16,-73,1,56,-26,82,-11,37,75
"21079","South","East South Central",9,-89,96,-12,-1,211,130,79,49,142
"21081","South","East South Central",-31,-82,-415,-44,115,-224,59,-59,-33,-110
"21083","South","East South Central",70,263,-77,-179,113,-372,-72,-66,51,-125
"21085","South","East South Central",44,-30,38,126,114,29,-27,174,59,151
"21087","South","East South Central",-4,-33,89,-80,-113,-30,49,82,-8,-26
"21089","South","East South Central",15,2,-77,-170,-151,-199,-72,-189,-81,-115
"21091","South","East South Central",-7,19,6,-23,35,-89,44,14,-51,-47
"21093","South","East South Central",1156,-410,52,-20,-1276,-2850,165,674,1576,212
"21095","South","East South Central",-31,-140,-434,-131,-440,-460,-413,-244,-256,-197
"21097","South","East South Central",-22,-98,-47,-35,73,21,-83,163,28,92
"21099","South","East South Central",11,16,60,83,-12,-118,66,174,82,47
"21101","South","East South Central",24,3,-5,-157,9,-58,-173,-343,-408,-302
"21103","South","East South Central",-27,-11,-51,96,121,8,274,123,90,51
"21105","South","East South Central",-17,-55,-37,-8,0,-39,9,-66,-74,-24
"21107","South","East South Central",-17,-47,-186,-88,-218,-38,-363,-164,-248,-318
"21109","South","East South Central",23,-80,-65,70,-108,7,22,44,18,-61
"21111","South","East South Central",290,1471,2672,5046,76,1019,580,827,-3525,-3170
"21113","South","East South Central",58,-89,269,385,503,756,218,859,342,160
"21115","South","East South Central",55,15,-35,43,-231,-112,-208,-225,-113,-142
"21117","South","East South Central",-81,-464,309,475,-419,51,-222,20,-122,-23
"21119","South","East South Central",-5,-15,-121,-9,-171,-230,-156,-188,-117,-207
"21121","South","East South Central",-5,39,-453,50,-122,-75,50,23,-152,-120
"21123","South","East South Central",9,54,-147,-15,94,23,-85,186,87,83
"21125","South","East South Central",111,202,64,-73,84,-132,16,128,293,106
"21127","South","East South Central",15,72,-56,28,-53,-5,-8,-101,-135,-214
"21129","South","East South Central",-187,19,-88,-720,-46,-21,-120,16,464,373
"21131","South","East South Central",-1,-30,-108,-114,-146,-173,-179,-68,-110,-207
"21133","South","East South Central",56,-145,-350,-419,-162,-288,-237,-353,-396,-184
"21135","South","East South Central",-10,-11,-25,-101,41,-147,-94,-102,-88,9
"21137","South","East South Central",-15,-81,-342,-30,-31,-88,-22,79,71,-105
"21139","South","East South Central",23,22,-48,-87,20,-21,-47,90,12,-21
"21141","South","East South Central",-10,-35,-154,162,-222,-51,-129,326,-48,67
"21143","South","East South Central",12,150,50,56,21,150,-169,102,-51,117
"21145","South","East South Central",-36,302,-168,-184,19,-306,330,61,-29,204
"21147","South","East South Central",21,-108,-282,-149,-40,-4,-371,-143,-59,-58
"21149","South","East South Central",-7,-20,-19,-20,-60,31,-26,-107,48,-44
"21151","South","East South Central",433,1015,297,194,855,899,1077,1340,788,663
"21153","South","East South Central",-4,-103,-178,-133,2,-169,-122,-134,-158,-120
"21155","South","East South Central",16,100,-108,-16,-911,65,-101,124,27,-92
"21157","South","East South Central",34,-71,96,69,-148,149,319,200,-5,38
"21159","South","East South Central",-38,-90,-93,-63,-162,-211,-303,-443,-127,-82
"21161","South","East South Central",1,27,-110,-151,-178,-22,119,35,-109,-26
"21163","South","East South Central",89,887,-464,-58,-196,-1430,222,84,582,-68
"21165","South","East South Central",50,42,-87,-2,-25,77,86,28,0,82
"21167","South","East South Central",17,-49,0,19,56,69,38,157,179,282
"21169","South","East South Central",16,-81,-108,-20,22,-75,102,95,-28,16
"21171","South","East South Central",16,-4,-37,-113,-17,-44,-46,83,134,-84
"21173","South","East South Central",-2,61,2,192,6,152,45,202,147,-9
"21175","South","East South Central",-189,-3,-186,-154,-29,-45,3,-6,161,-9
"21177","South","East South Central",126,-83,-123,-13,0,4,-88,-161,-77,-135
"21179","South","East South Central",84,193,93,-50,96,76,257,-22,100,287
"21181","South","East South Central",-1,-29,-78,24,42,19,32,85,44,86
"21183","South","East South Central",-27,97,17,-56,-12,83,137,-44,-75,-76
"21185","South","East South Central",79,112,1150,814,803,456,716,957,-211,99
"21187","South","East South Central",-7,-28,-71,-107,13,107,-32,130,92,20
"21189","South","East South Central",14,76,-89,-30,-80,-37,50,-63,64,-55
"21191","South","East South Central",27,-262,-104,-26,-118,7,78,-22,-28,-12
"21193","South","East South Central",7,50,-395,-320,-400,-186,-167,-539,-295,-363
"21195","South","East South Central",96,-69,-267,-661,-834,-1044,-1206,-1362,-235,-391
"21197","South","East South Central",16,-9,-155,14,-118,-104,23,47,109,-5
"21199","South","East South Central",94,309,33,332,169,91,206,463,320,432
"21201","South","East South Central",-2,5,-65,26,-24,-33,1,5,12,-22
"21203","South","East South Central",6,63,-37,-302,122,128,-40,-103,73,-48
"21205","South","East South Central",39,142,182,324,-19,337,-240,64,-57,-96
"21207","South","East South Central",-14,146,-70,103,78,-90,136,14,102,156
"21209","South","East South Central",69,348,678,704,852,630,932,1084,914,770
"21211","South","East South Central",121,400,549,502,367,449,542,489,668,801
"21213","South","East South Central",14,-94,212,90,54,112,44,61,344,121
"21215","South","East South Central",30,186,-11,135,50,198,238,253,333,272
"21217","South","East South Central",160,293,33,59,115,199,-185,65,-61,234
"21219","South","East South Central",-29,-25,119,-216,-72,-59,-129,-193,81,-57
"21221","South","East South Central",30,-78,182,-66,-130,103,88,137,246,3
"21223","South","East South Central",-15,-21,-1,-45,-86,14,-113,-56,-52,15
"21225","South","East South Central",251,-17,-206,-38,0,-107,-171,-119,-125,-81
"21227","South","East South Central",333,985,975,1577,1226,2012,1642,2002,973,1419
"21229","South","East South Central",15,11,130,-7,25,113,94,-207,121,58
"21231","South","East South Central",3,39,-82,-64,-124,8,103,-109,-166,-106
"21233","South","East South Central",-27,-35,-32,-92,-157,-33,38,-155,7,-143
"21235","South","East South Central",28,73,-183,73,-168,208,-118,-42,-10,109
"21237","South","East South Central",-4,-14,-154,106,-12,8,-21,59,-48,-28
"21239","South","East South Central",50,-170,132,182,191,251,192,215,64,196
"22001","South","West South Central",-4,-190,-118,119,63,-212,-191,-489,-481,-295
"22003","South","West South Central",-40,-67,-188,-74,9,-125,-10,-125,-91,-12
"22005","South","West South Central",390,1191,1203,1438,1639,1134,1193,607,863,993
"22007","South","West South Central",-61,-197,-171,69,-177,-199,-174,-232,-302,-395
"22009","South","West South Central",-5,-365,-289,-308,-209,-216,-101,-174,-485,-315
"22011","South","West South Central",148,115,56,-213,-115,158,300,-206,379,12
"22013","South","West South Central",-6,-15,-74,-191,-119,67,-25,-128,-267,-36
"22015","South","West South Central",359,1643,2038,41,37,-111,-371,426,-469,-436
"22017","South","West South Central",300,157,-924,-3122,-3569,-2155,-3228,-3414,-3487,-2919
"22019","South","West South Central",170,91,-279,230,338,1148,1202,869,-92,-586
"22021","South","West South Central",1,-52,-33,-35,-44,75,23,-129,20,-47
"22023","South","West South Central",44,-284,-56,68,-20,76,57,17,44,-61
"22025","South","West South Central",-16,-84,-41,24,-110,-63,-143,-44,-223,-103
"22027","South","West South Central",-44,-197,-55,-169,-260,-120,-80,-154,-23,-160
"22029","South","West South Central",-18,-1,-442,0,1,-269,-261,-148,-280,-343
"22031","South","West South Central",56,45,150,4,-72,-25,48,59,158,11
"22033","South","West South Central",-52,-1893,-1019,-1180,-1530,-1969,-1236,-4322,-4406,-3859
"22035","South","West South Central",-40,-124,-146,-87,-114,-200,-60,-146,-133,-149
"22037","South","West South Central",-86,-90,-201,-211,97,-108,0,-65,-51,-113
"22039","South","West South Central",-15,-220,-260,-8,-191,-152,-164,-136,-251,-157
"22041","South","West South Central",10,-70,-240,-41,-66,-51,-39,-133,-115,-143
"22043","South","West South Central",36,4,-38,-88,-24,-85,-40,-38,112,-92
"22045","South","West South Central",-87,-104,-73,-152,-447,-406,-1125,-1280,-1271,-1215
"22047","South","West South Central",-57,-169,-199,-31,-275,-37,-308,13,-243,-219
"22049","South","West South Central",13,23,-102,-102,-91,-63,-33,43,55,-107
"22051","South","West South Central",-420,-421,-1737,-1003,-1844,-856,-450,-2004,-3575,-2613
"22053","South","West South Central",1,-94,-238,-184,97,-105,-120,68,78,-143
"22055","South","West South Central",136,912,1132,2415,2353,1917,250,-1176,46,71
"22057","South","West South Central",-30,-39,-269,-202,314,-7,-239,-707,-398,-606
"22059","South","West South Central",33,22,-69,-27,38,75,20,-142,-12,-10
"22061","South","West South Central",55,-8,-295,2,-210,39,-211,-185,-432,-471
"22063","South","West South Central",381,635,780,1401,675,1168,1677,-2687,908,773
"22065","South","West South Central",-8,-173,166,-369,-132,-300,-89,-163,-173,-247
"22067","South","West South Central",-66,-390,-104,-405,-282,-339,-410,-257,-289,-435
"22069","South","West South Central",-29,-330,-203,-397,-146,-224,-75,-63,-501,-528
"22071","South","West South Central",3256,11066,7091,7019,3416,3903,320,-1744,-1446,-1600
"22073","South","West South Central",16,-109,-286,111,-484,-228,-629,-1686,-1723,-1691
"22075","South","West South Central",28,343,151,-448,-352,1,-231,-74,-48,-265
"22077","South","West South Central",-21,-93,-194,-258,-108,-97,-121,56,-289,-130
"22079","South","West South Central",24,-253,-389,50,-614,-811,-368,-903,-1033,-884
"22081","South","West South Central",-6,-60,-51,-127,-218,-46,-81,-93,-2,-70
"22083","South","West South Central",-2,132,-9,-57,-251,-223,-130,-50,-215,-104
"22085","South","West South Central",-19,172,-143,-47,-161,99,-166,-117,-35,-43
"22087","South","West South Central",757,2331,1632,1569,651,673,70,89,404,230
"22089","South","West South Central",-86,-625,-227,-95,-162,-343,-44,-386,-3,205
"22091","South","West South Central",-23,-223,5,-183,-250,-57,-58,-49,-131,-48
"22093","South","West South Central",-96,-369,-267,-47,-217,-101,-78,-87,-282,-108
"22095","South","West South Central",-218,-748,-627,-1335,-59,-374,-292,-238,-295,-398
"22097","South","West South Central",0,-515,-316,-390,-100,-298,-236,-508,-859,-750
"22099","South","West South Central",10,269,-440,11,116,273,-318,94,-680,-254
"22101","South","West South Central",-134,-532,-874,-139,-608,-654,-988,-1527,-980,-584
"22103","South","West South Central",583,1507,1521,2312,2391,2903,2610,2668,1671,1999
"22105","South","West South Central",175,441,218,1112,730,980,1085,1049,874,351
"22107","South","West South Central",-27,-151,-121,-60,-90,-90,-117,-70,-110,-128
"22109","South","West South Central",-201,-584,-637,489,124,-324,-1530,-1733,-990,-1053
"22111","South","West South Central",28,-128,-303,-68,121,-84,25,-106,-122,-115
"22113","South","West South Central",27,-57,151,368,13,147,-82,-342,-218,-503
"22115","South","West South Central",204,-1244,1160,-2173,-557,-2030,-561,-2230,-2208,-1130
"22117","South","West South Central",-96,12,-442,-238,-92,24,8,183,-11,-357
"22119","South","West South Central",32,19,-409,-191,-319,-255,-295,-413,-405,-371
"22121","South","West South Central",95,1,-108,349,390,196,166,131,59,-61
"22123","South","West South Central",-11,-82,-36,-11,67,-239,-147,-124,44,-90
"22125","South","West South Central",-2,-136,-72,-4,-90,12,-25,73,106,73
"22127","South","West South Central",-34,-189,-79,-230,-22,-175,-101,-192,-169,-171
"23001","Northeast","New England",-118,-592,-238,-499,-98,-372,64,11,413,242
"23003","Northeast","New England",-118,-111,-406,-548,-442,-447,-351,-384,-62,-6
"23005","Northeast","New England",-389,979,715,1629,2294,1296,1616,921,1428,1328
"23007","Northeast","New England",-41,83,-65,-139,-226,-109,32,-54,222,390
"23009","Northeast","New England",-53,254,62,181,52,-110,381,224,396,473
"23011","Northeast","New England",-23,-190,-202,-353,334,-118,639,611,385,540
"23013","Northeast","New England",-24,56,-16,193,268,38,165,185,104,202
"23015","Northeast","New England",-49,-17,28,112,115,-91,328,352,311,356
"23017","Northeast","New England",-62,87,-179,-41,80,19,315,362,442,458
"23019","Northeast","New England",-102,-104,-387,34,12,-1122,-453,551,364,553
"23021","Northeast","New England",17,-93,-4,-20,-45,5,63,1,75,145
"23023","Northeast","New England",-111,-94,-49,-68,41,95,101,344,301,257
"23025","Northeast","New England",38,-209,-78,-52,-383,-369,-19,-31,284,83
"23027","Northeast","New England",35,39,42,88,50,168,340,428,16,176
"23029","Northeast","New England",-19,6,-74,-134,-138,-99,-48,-47,117,216
"23031","Northeast","New England",4,1005,455,576,1400,586,1453,1969,1846,2052
"24001","South","South Atlantic",-92,-185,-397,-144,-358,-226,-143,-399,-167,-290
"24003","South","South Atlantic",747,2322,2565,2329,987,1189,1434,1549,1986,1598
"24005","South","South Atlantic",890,3978,3176,2615,624,673,-501,-1180,-2024,-1484
"24009","South","South Atlantic",111,58,107,425,-180,-284,318,179,476,298
"24011","South","South Atlantic",-30,-292,-341,-35,-130,-6,191,238,140,52
"24013","South","South Atlantic",27,-323,-237,78,53,-302,-230,443,695,141
"24015","South","South Atlantic",5,93,-165,-44,130,94,-67,-236,87,90
"24017","South","South Atlantic",338,1145,462,1140,867,379,823,1457,1343,1108
"24019","South","South Atlantic",39,-31,-206,61,-88,-65,-110,-68,-107,27
"24021","South","South Atlantic",478,1727,1266,519,1094,642,973,2741,3396,3605
"24023","South","South Atlantic",-8,40,-179,2,-297,-224,-17,-74,-31,-32
