"fips","region","division","netmig2010","netmig2011","netmig2012","netmig2013","netmig2014","netmig2015","netmig2016","netmig2017","netmig2018","netmig2019"
"02164","West","Pacific",-5,1,-25,5,-49,-65,-19,-7,-45,-25
"02170","West","Pacific",490,1169,1136,1375,1349,2012,2133,1261,166,482
"02180","West","Pacific",22,58,-135,-113,-178,-103,-72,-95,-60,-145
"02185","West","Pacific",5,-53,-2,-30,-145,-117,-192,7,-74,-113
"02188","West","Pacific",-17,-25,-126,-138,-92,-113,-201,-32,-188,-149
"02195","West","Pacific",1,11,4,-15,-58,-30,0,-7,-31,21
"02198","West","Pacific",26,128,-7,-18,2,1,-6,-78,-85,-164
"02220","West","Pacific",0,-46,78,-73,-171,-61,-62,-115,-119,-80
"02230","West","Pacific",-4,-20,30,17,22,22,35,29,-4,20
"02240","West","Pacific",10,6,-72,-241,-129,-180,-11,-5,-36,-117
"02261","West","Pacific",21,10,-67,-51,-371,-223,-71,-158,-131,-19
"02275","West","Pacific",2,10,25,25,-23,21,38,32,11,-25
"02282","West","Pacific",-3,-9,2,-20,-2,-25,-29,-12,-10,-21
"02290","West","Pacific",13,-25,-35,-93,-126,-34,-66,-33,-69,-137
"04001","West","Mountain",123,-127,-416,-369,-920,-1144,63,-186,-16,-75
"04003","West","Mountain",333,724,-1591,-2888,-2786,-1229,-980,-905,1579,-529
"04005","West","Mountain",-69,-1426,828,-374,-68,501,671,-77,914,338
"04007","West","Mountain",19,-88,-333,79,168,117,617,439,463,513
"04009","West","Mountain",-144,-300,-386,135,300,-543,-336,-607,334,637
"04011","West","Mountain",-103,182,133,99,332,120,-16,-294,-90,-44
"04012","West","Mountain",-6,114,-47,58,32,5,240,157,451,191
"04013","West","Mountain",1334,22462,43711,42725,48027,51864,58994,48026,55207,62997
"04015","West","Mountain",214,2847,1216,687,1031,2150,2126,3012,3824,4478
"04017","West","Mountain",-32,-999,-951,-819,-60,-674,289,141,855,355
"04019","West","Mountain",580,3352,1761,1058,4075,2414,5741,8098,9252,10005
"04021","West","Mountain",2544,-3624,2191,1072,7812,8480,10057,12994,13960,14667
"04023","West","Mountain",-151,-182,-707,-815,-657,-442,-474,-185,-499,-201
"04025","West","Mountain",173,835,1791,3231,4135,3929,4824,4728,5089,4564
"04027","West","Mountain",857,3781,-2256,-1832,-161,-476,566,730,727,903
"05001","South","West South Central",-34,-115,62,-205,-284,-154,-188,-270,-138,-232
"05003","South","West South Central",-25,-187,-212,-249,-326,-101,-298,-178,-254,-317
"05005","South","West South Central",54,188,85,228,238,497,333,506,643,655
"05007","South","West South Central",674,4861,4000,2917,3527,4999,5725,5352,3834,4930
"05009","South","West South Central",14,183,172,-27,-268,19,143,195,-40,103
"05011","South","West South Central",-7,-33,-152,-141,-68,-3,-33,-122,48,-61
"05013","South","West South Central",-16,-103,37,-66,-4,46,-35,88,46,-29
"05015","South","West South Central",66,-97,157,159,-55,16,-50,169,228,290
"05017","South","West South Central",-15,-84,-221,-111,-148,-184,-52,-261,-167,-285
"05019","South","West South Central",-39,32,-180,-146,-30,-20,65,-386,124,16
"05021","South","West South Central",16,-115,-77,-133,-107,-61,-83,-100,-48,-170
"05023","South","West South Central",54,-11,16,-27,116,-130,-31,45,86,84
"05025","South","West South Central",7,1,-80,-75,-107,-97,4,-48,-163,-26
"05027","South","West South Central",191,7,-288,-96,-260,33,-83,-287,-55,-111
"05029","South","West South Central",-27,-108,4,-64,-81,-48,-38,-7,33,9
"05031","South","West South Central",140,1150,1047,1067,513,1141,823,746,1127,1091
"05033","South","West South Central",5,-291,-65,-399,-88,-34,221,548,391,-222
