"fips","region","division","internationalmig2010","internationalmig2011","internationalmig2012","internationalmig2013","internationalmig2014","internationalmig2015","internationalmig2016","internationalmig2017","internationalmig2018","internationalmig2019"
"05127","South","West South Central",3,3,-2,-3,-4,-6,-5,-5,-5,-5
"05129","South","West South Central",0,2,4,-1,3,3,4,4,2,2
"05131","South","West South Central",35,228,189,64,70,115,95,26,-50,-51
"05133","South","West South Central",13,60,-7,12,-8,-4,-16,-7,-22,-22
"05135","South","West South Central",0,4,7,2,4,7,8,4,2,2
"05137","South","West South Central",0,-7,-7,-9,-10,-8,-8,-7,-8,-8
"05139","South","West South Central",5,8,-13,-9,-13,-1,4,2,-2,-1
"05141","South","West South Central",0,-4,-8,0,3,15,17,13,11,11
"05143","South","West South Central",174,873,674,264,522,652,850,562,343,164
"05145","South","West South Central",10,87,71,58,58,31,17,-5,-28,-27
"05147","South","West South Central",0,0,0,0,0,0,0,0,0,0
"05149","South","West South Central",13,60,7,23,15,18,25,25,28,-2
"06001","West","Pacific",1687,9020,9087,10177,11514,14029,12725,11386,8473,8540
"06003","West","Pacific",0,0,0,1,0,2,2,1,1,1
"06005","West","Pacific",1,13,2,19,24,33,27,22,17,17
"06007","West","Pacific",39,70,134,218,316,256,226,179,99,103
"06009","West","Pacific",3,13,6,22,28,37,38,27,15,15
"06011","West","Pacific",2,-25,-31,-17,-7,-9,-4,-27,-36,-33
"06013","West","Pacific",489,3049,2728,3467,4082,5165,4713,4092,2942,2916
"06015","West","Pacific",1,2,12,-6,-1,7,31,28,14,15
"06017","West","Pacific",22,87,103,120,115,195,170,139,71,75
"06019","West","Pacific",96,574,622,1025,1384,1900,1884,1180,495,479
"06021","West","Pacific",-3,-20,-23,-16,-23,-6,0,-20,-33,-31
"06023","West","Pacific",19,60,48,35,2,30,10,-5,-15,-17
"06025","West","Pacific",-64,-93,-42,217,342,571,781,284,34,33
"06027","West","Pacific",-2,1,6,11,8,19,25,23,18,18
"06029","West","Pacific",143,608,783,1133,1069,1289,1322,623,40,81
"06031","West","Pacific",55,-24,264,131,133,223,140,-5,-148,-74
"06033","West","Pacific",-3,-35,-29,-20,-17,1,5,-16,-29,-26
"06035","West","Pacific",2,28,16,8,16,12,10,9,7,7
"06037","West","Pacific",6603,33540,27905,33130,36648,42930,38904,31888,20835,21050
"06039","West","Pacific",-35,-67,-59,70,-32,30,68,-71,-148,-139
"06041","West","Pacific",159,676,624,623,589,738,661,599,427,432
"06043","West","Pacific",1,0,8,18,12,14,14,11,9,9
"06045","West","Pacific",12,10,-35,5,0,-2,6,-29,-60,-60
"06047","West","Pacific",21,76,-39,74,119,224,273,9,-150,-144
"06049","West","Pacific",0,6,6,9,12,10,9,7,5,5
"06051","West","Pacific",3,4,23,32,41,110,95,83,62,64
"06053","West","Pacific",79,63,358,410,587,959,969,271,-203,-90
"06055","West","Pacific",41,202,199,174,163,177,160,74,-20,-13
"06057","West","Pacific",7,1,3,4,29,23,26,11,0,-3
"06059","West","Pacific",1378,8195,7390,9649,11194,12986,11584,9468,5987,6178
"06061","West","Pacific",127,322,227,292,406,427,336,229,49,79
"06063","West","Pacific",2,8,8,-2,-1,3,3,1,-3,-3
"06065","West","Pacific",6,1084,925,1750,2249,3216,2910,1594,242,303
"06067","West","Pacific",653,3684,3301,4227,4801,5723,5112,4375,2996,3042
"06069","West","Pacific",-5,-29,-30,-40,-29,10,20,-18,-43,-38
"06071","West","Pacific",200,776,1582,1585,1861,2873,2379,1232,36,162
"06073","West","Pacific",2382,8903,14144,13684,14179,16893,14346,10259,5575,6733
"06075","West","Pacific",1163,6186,6107,6614,6847,7384,6544,5994,4497,4498
"06077","West","Pacific",107,781,624,1061,1181,1848,1845,1288,660,687
"06079","West","Pacific",-11,34,54,162,199,217,204,89,-16,-7
"06081","West","Pacific",663,3518,3585,4316,4879,5779,5282,4756,3568,3610
"06083","West","Pacific",159,703,862,1047,1210,1588,1488,957,491,553
"06085","West","Pacific",2690,14153,13618,16301,19269,22124,19970,17926,13262,13409
"06087","West","Pacific",-2,92,35,245,310,386,373,214,48,59
"06089","West","Pacific",33,137,125,213,204,319,289,258,194,193
"06091","West","Pacific",0,0,2,-1,0,0,0,0,0,0
"06093","West","Pacific",6,13,13,6,16,18,14,10,3,2
"06095","West","Pacific",209,753,1154,954,886,933,790,534,198,280
"06097","West","Pacific",56,103,131,394,629,653,708,361,74,97
"06099","West","Pacific",119,581,296,590,584,820,855,478,140,144
"06101","West","Pacific",81,283,275,226,267,293,259,184,81,100
"06103","West","Pacific",14,20,-13,-16,-24,-17,-11,-24,-31,-29
"06105","West","Pacific",0,-1,-1,0,-1,-2,-1,-2,-1,-1
"06107","West","Pacific",-114,-361,-348,-103,115,324,432,-25,-286,-270
"06109","West","Pacific",8,42,36,51,54,33,31,27,19,20
"06111","West","Pacific",119,485,562,1058,1306,1456,1408,689,27,140
"06113","West","Pacific",169,826,805,1070,1153,1483,1349,1167,841,857
"06115","West","Pacific",45,49,149,121,104,133,83,20,-30,0
"08001","West","Mountain",103,1296,653,607,617,1032,695,818,1217,1204
"08003","West","Mountain",2,7,-1,-5,1,2,6,6,12,-4
"08005","West","Mountain",584,2797,2550,2330,2412,3034,2377,2072,2561,2507
"08007","West","Mountain",2,9,4,10,6,5,4,2,9,9
"08009","West","Mountain",0,1,1,1,0,1,0,3,3,3
"08011","West","Mountain",2,19,13,11,0,1,1,2,2,2
"08013","West","Mountain",225,1005,802,717,943,1183,931,765,961,938
"08014","West","Mountain",27,124,103,89,84,124,99,78,103,105
"08015","West","Mountain",6,19,10,-3,-1,14,9,6,8,9
"08017","West","Mountain",1,17,1,2,5,7,7,5,6,6
"08019","West","Mountain",4,27,22,21,23,23,12,18,23,23
"08021","West","Mountain",1,12,5,1,3,2,3,3,3,3
"08023","West","Mountain",1,17,8,8,8,9,4,6,10,10
"08025","West","Mountain",3,32,13,0,-1,9,19,21,34,0
"08027","West","Mountain",0,0,0,0,0,0,-1,-1,-1,-1
"08029","West","Mountain",3,27,9,1,3,-5,-5,-1,1,2
"08031","West","Mountain",386,2628,1885,1709,1857,2527,1911,1732,2314,2242
"08033","West","Mountain",0,0,0,0,0,0,0,0,0,0
"08035","West","Mountain",83,428,546,482,508,783,580,461,560,562
"08037","West","Mountain",30,277,62,54,62,140,83,82,114,118
"08039","West","Mountain",4,5,-5,-2,24,46,33,28,33,34
"08041","West","Mountain",452,894,2682,1519,1382,2014,994,475,346,526
"08043","West","Mountain",11,91,58,-14,-4,-9,-7,-8,-5,-5
"08045","West","Mountain",11,131,20,-18,9,0,-8,26,63,54
"08047","West","Mountain",1,0,1,-2,-2,0,0,0,0,0
"08049","West","Mountain",5,21,-3,1,5,19,11,11,10,10
"08051","West","Mountain",2,6,-11,-9,-3,5,-1,2,7,7
"08053","West","Mountain",0,0,0,0,0,0,0,0,0,0
