"fips","region","division","domesticmig2010","domesticmig2011","domesticmig2012","domesticmig2013","domesticmig2014","domesticmig2015","domesticmig2016","domesticmig2017","domesticmig2018","domesticmig2019"
"18065","Midwest","East North Central",37,-203,18,-176,124,-118,-200,10,111,-60
"18067","Midwest","East North Central",-67,-165,-91,-179,-166,-179,-34,-24,13,261
"18069","Midwest","East North Central",-29,34,-211,-207,-176,-151,-200,-80,-31,238
"18071","Midwest","East North Central",140,147,-88,218,87,-27,-179,-263,-150,-85
"18073","Midwest","East North Central",18,-171,-37,-131,25,-66,-152,-10,-135,166
"18075","Midwest","East North Central",-73,29,-51,-137,-196,-85,-187,-174,-185,-334
"18077","Midwest","East North Central",4,-91,127,-14,38,-108,-87,-228,121,123
"18079","Midwest","East North Central",-62,-382,-90,17,-362,-129,-214,10,-23,23
"18081","Midwest","East North Central",161,624,968,1172,763,1186,1725,1490,1451,1268
"18083","Midwest","East North Central",-38,57,-537,12,-139,-168,-430,-302,-495,-17
"18085","Midwest","East North Central",-125,-364,-93,-35,115,-260,-199,-100,-19,-346
"18087","Midwest","East North Central",-88,-204,-305,-76,-133,-278,-8,-339,-334,-230
"18089","Midwest","East North Central",-574,-2690,-3393,-3022,-2228,-4249,-3030,-2123,-898,413
"18091","Midwest","East North Central",-119,-323,-162,-25,118,-948,-769,-362,20,-127
"18093","Midwest","East North Central",4,29,40,-179,-132,-27,35,123,114,-164
"18095","Midwest","East North Central",-35,-807,-944,137,-572,-374,-136,144,157,16
"18097","Midwest","East North Central",-1147,-3057,-1180,803,-3368,-5235,-4739,-3840,-2621,-4866
"18099","Midwest","East North Central",-105,-204,-244,-146,-78,-348,-311,-314,-329,-199
"18101","Midwest","East North Central",-1,-35,-67,-101,-46,-37,-48,-15,19,30
"18103","Midwest","East North Central",-111,-217,-110,-365,-178,-57,44,-185,-227,-175
"18105","Midwest","East North Central",230,359,-189,-587,-54,-366,22,-153,-931,-282
"18107","Midwest","East North Central",-70,136,-178,-165,-57,32,-112,63,-153,-15
"18109","Midwest","East North Central",116,-90,-189,90,67,-67,-86,41,178,208
"18111","Midwest","East North Central",5,-118,-55,-3,49,-80,-5,30,-48,-14
"18113","Midwest","East North Central",-111,-258,-235,-80,-58,-42,-317,-187,4,12
"18115","Midwest","East North Central",-18,-19,4,-70,-23,-56,18,-35,24,1
"18117","Midwest","East North Central",-52,119,-206,69,-96,-133,-173,-67,85,64
"18119","Midwest","East North Central",11,-100,-143,-182,-154,-181,88,-80,104,-4
"18121","Midwest","East North Central",-72,-225,8,87,-40,-330,-91,-61,7,-73
"18123","Midwest","East North Central",67,9,-45,53,-20,-38,-345,6,96,74
"18125","Midwest","East North Central",0,-121,20,-136,-36,-63,3,-54,80,4
"18127","Midwest","East North Central",59,497,-398,394,168,-100,-298,769,912,828
"18129","Midwest","East North Central",-28,-211,-169,-100,-14,-5,-9,-81,-28,-111
"18131","Midwest","East North Central",-57,-78,-195,-54,-30,-111,-183,-74,-42,-141
"18133","Midwest","East North Central",-51,-100,-287,-183,-59,-107,-319,243,77,38
"18135","Midwest","East North Central",-44,-154,-180,-249,-277,-228,-66,-160,-116,-165
"18137","Midwest","East North Central",-20,-217,-274,-171,2,15,-45,14,-18,-179
"18139","Midwest","East North Central",-21,-65,-181,-78,-155,-129,-79,16,-12,-59
"18141","Midwest","East North Central",-508,-1463,-1635,-950,-521,-692,-136,-1071,-772,-914
"18143","Midwest","East North Central",5,-253,-172,44,-131,52,10,150,27,117
"18145","Midwest","East North Central",-88,-120,-122,47,-78,-105,-198,116,124,126
"18147","Midwest","East North Central",-31,6,-239,-20,-71,-176,-120,-47,-44,-84
"18149","Midwest","East North Central",4,-178,4,-22,-133,-80,150,-71,16,69
"18151","Midwest","East North Central",-58,-111,13,131,43,-76,-233,-10,97,106
"18153","Midwest","East North Central",-48,-159,-29,-79,-149,-80,-127,19,2,-24
"18155","Midwest","East North Central",9,-104,-190,100,-71,33,-17,21,28,7
"18157","Midwest","East North Central",-347,244,459,165,-279,-243,435,-1431,-474,-1159
"18159","Midwest","East North Central",-44,-50,-131,-65,-153,-130,-70,-11,-12,43
"18161","Midwest","East North Central",12,-48,-160,-32,-57,-55,-32,38,-114,37
"18163","Midwest","East North Central",-16,79,-70,80,-15,-751,-560,-742,-253,-47
"18165","Midwest","East North Central",-63,10,-88,-64,-154,-8,50,-82,37,1
"18167","Midwest","East North Central",-8,92,-160,-509,-631,-651,-58,-391,-444,-547
"18169","Midwest","East North Central",-36,-240,-134,-18,-89,-149,-278,-32,-69,-113
"18171","Midwest","East North Central",-9,-80,-125,-29,-44,-64,-99,38,69,-19
"18173","Midwest","East North Central",98,144,-93,378,-89,397,333,342,-16,460
"18175","Midwest","East North Central",22,-102,-293,-150,57,-135,-11,52,148,87
"18177","Midwest","East North Central",-78,-334,-412,-423,-305,-330,-310,-345,-110,-122
"18179","Midwest","East North Central",-10,-33,-151,-59,14,8,-87,37,61,109
"18181","Midwest","East North Central",0,-114,-186,-60,-21,-140,-245,55,-65,-66
"18183","Midwest","East North Central",19,-82,-91,-144,50,-73,-89,172,201,-192
"19001","Midwest","West North Central",4,-83,-56,-32,12,-167,-100,65,16,71
"19003","Midwest","West North Central",-2,-16,-86,-19,-22,-103,-47,-36,-7,-35
"19005","Midwest","West North Central",0,-167,-98,-129,-48,-236,-65,-102,11,-194
"19007","Midwest","West North Central",-1,-10,-146,-17,32,-61,-58,-128,82,69
"19009","Midwest","West North Central",-4,-74,-100,6,-75,-56,-66,-48,-70,29
"19011","Midwest","West North Central",-15,-37,-318,-183,-149,-104,-43,-77,-50,-1
"19013","Midwest","West North Central",-41,-351,-348,166,-451,-587,-1499,-1548,-1190,-1129
"19015","Midwest","West North Central",-24,-9,-163,144,43,165,6,67,-102,-40
"19017","Midwest","West North Central",11,60,44,19,-2,7,-89,4,53,48
"19019","Midwest","West North Central",-31,-124,-14,-46,32,-104,-191,61,-20,-74
"19021","Midwest","West North Central",14,-181,50,-180,-269,-441,-268,-427,-480,-385
"19023","Midwest","West North Central",48,76,2,18,-7,-51,-152,-67,-3,-53
"19025","Midwest","West North Central",-1,-32,-146,16,-19,-23,32,-41,-20,-25
"19027","Midwest","West North Central",2,-4,-241,-119,-63,-108,-67,-112,-140,-8
"19029","Midwest","West North Central",2,-130,-14,-108,-114,19,-126,10,-159,-77
"19031","Midwest","West North Central",1,-105,-77,-91,35,-23,97,125,69,42
"19033","Midwest","West North Central",-51,-159,-281,-191,-332,-202,177,-46,-325,-153
"19035","Midwest","West North Central",45,-40,-36,-60,-68,-292,-53,-51,16,-11
"19037","Midwest","West North Central",-24,-5,-145,1,-44,-102,-71,-83,-94,-59
"19039","Midwest","West North Central",11,-7,27,-129,-59,-11,28,51,69,-142
"19041","Midwest","West North Central",-27,-36,-39,-142,50,2,-196,-184,-71,-133
"19043","Midwest","West North Central",-34,-35,-99,-144,-56,-43,-67,-6,-107,11
"19045","Midwest","West North Central",-24,-65,-464,-493,-431,-404,-362,-337,-428,-9
"19047","Midwest","West North Central",13,-21,-55,-20,-317,-220,-133,-112,-87,-386
"19049","Midwest","West North Central",325,2044,1528,1535,1657,1786,2559,1885,1895,2577
"19051","Midwest","West North Central",7,-47,-119,32,-65,-48,66,-4,-80,-38
"19053","Midwest","West North Central",-27,-163,-15,-21,-6,-94,-101,-129,-73,-42
"19055","Midwest","West North Central",1,-163,-97,-134,-136,-56,-152,-165,-113,-98
"19057","Midwest","West North Central",-50,-207,158,134,-332,-238,-294,-284,-215,-173
"19059","Midwest","West North Central",12,246,68,15,8,167,123,98,15,163
"19061","Midwest","West North Central",120,265,234,433,127,21,-574,-48,-465,106
"19063","Midwest","West North Central",-24,-236,-136,-37,-63,-123,-126,-150,-137,-69
"19065","Midwest","West North Central",-32,108,-196,-230,-192,-112,-262,-155,2,-27
"19067","Midwest","West North Central",11,-222,0,-13,-19,-105,-95,-126,-42,-113
"19069","Midwest","West North Central",-3,-15,-174,20,-108,-137,-142,-41,-65,-31
"19071","Midwest","West North Central",-12,-59,-210,-43,-28,-99,45,-9,38,-24
"19073","Midwest","West North Central",5,-13,-114,-11,-9,-170,71,-22,16,-65
"19075","Midwest","West North Central",5,6,-54,-114,48,36,-107,42,-19,-29
"19077","Midwest","West North Central",5,-52,-99,-95,25,-10,-5,19,64,-30
"19079","Midwest","West North Central",-26,-165,-159,16,-181,-35,-185,-39,-138,-107
"19081","Midwest","West North Central",-23,1,-92,-26,-72,-20,-148,-124,-48,-66
"19083","Midwest","West North Central",-5,-139,22,43,-43,-49,-32,-96,-115,-58
"19085","Midwest","West North Central",-10,-87,-267,-77,-112,-86,-69,69,6,-28
"19087","Midwest","West North Central",-35,129,-274,-5,-221,-30,-53,191,-60,-117
"19089","Midwest","West North Central",-12,-28,-11,-119,-91,-58,-56,-44,-37,-6
"19091","Midwest","West North Central",-19,2,-44,-45,-32,-74,-21,41,-27,-7
"19093","Midwest","West North Central",-8,13,15,33,-106,-8,1,-72,20,50
"19095","Midwest","West North Central",-29,-24,-167,113,28,-52,-81,-74,33,34
"19097","Midwest","West North Central",0,-65,-14,-143,-85,-30,2,-42,63,20
"19099","Midwest","West North Central",-23,-239,-128,71,135,-173,-98,289,171,-40
"19101","Midwest","West North Central",-32,63,-58,3,-124,-152,-82,-75,-92,-74
"19103","Midwest","West North Central",-22,455,1152,884,389,235,11,336,-320,-855
"19105","Midwest","West North Central",27,25,-129,-107,2,-147,-53,185,32,1
"19107","Midwest","West North Central",-18,-137,-11,-68,-76,-104,-15,-29,65,12
"19109","Midwest","West North Central",-22,-111,24,-35,-74,-46,-52,-163,-79,-83
"19111","Midwest","West North Central",-22,-259,-10,-298,-149,-156,-414,-194,-279,-219
"19113","Midwest","West North Central",-27,1107,-39,-405,230,698,515,812,249,-149
"19115","Midwest","West North Central",-22,-47,-82,-81,-184,-57,-154,-81,-97,-151
"19117","Midwest","West North Central",-13,-48,-77,-68,-52,-5,-24,-21,65,-42
"19119","Midwest","West North Central",-11,46,37,-101,-70,-12,-48,-61,-42,-120
"19121","Midwest","West North Central",34,-9,-147,-173,95,78,57,185,196,126
"19123","Midwest","West North Central",-19,3,-117,-60,-138,-149,-201,-40,-245,15
"19125","Midwest","West North Central",-77,-40,-14,-300,188,-181,-23,-83,147,-23
"19127","Midwest","West North Central",2,43,-198,-311,-493,-493,-389,-108,-284,-591
"19129","Midwest","West North Central",3,-57,-152,33,-172,80,130,5,-4,34
"19131","Midwest","West North Central",9,-76,25,-32,23,-6,-24,-60,21,10
"19133","Midwest","West North Central",5,53,-88,5,-46,11,-15,-10,-28,7
"19135","Midwest","West North Central",10,80,17,-85,9,1,-77,-8,-25,-63
"19137","Midwest","West North Central",-25,-16,-71,-103,14,-202,-19,0,-101,-17
"19139","Midwest","West North Central",-91,-176,-75,-162,-249,-188,-318,-309,-233,-412
"19141","Midwest","West North Central",-10,-144,-28,-109,4,-97,17,-110,36,-33
"19143","Midwest","West North Central",-15,-120,-123,12,-25,-88,-74,-54,-1,-62
"19145","Midwest","West North Central",7,7,-164,-175,-36,17,-110,-56,57,-68
"19147","Midwest","West North Central",-31,-19,-46,-91,-43,21,-112,17,-156,-27
"19149","Midwest","West North Central",-7,-221,-16,37,-109,-75,189,-176,-79,95
"19151","Midwest","West North Central",-23,-51,-60,7,-10,-128,-100,0,-96,-81
"19153","Midwest","West North Central",448,1414,1474,3017,3216,2044,2399,1904,1686,777
"19155","Midwest","West North Central",104,-272,-927,-396,78,1,-370,-349,-322,-216
"19157","Midwest","West North Central",-15,-35,-140,-87,21,-243,-77,81,166,61
"19159","Midwest","West North Central",3,-27,-1,-30,1,41,25,49,-67,-36
"19161","Midwest","West North Central",10,-80,-35,-94,35,-46,-126,5,-63,29
"19163","Midwest","West North Central",-184,450,797,823,-24,-401,-721,-478,-318,-481
"19165","Midwest","West North Central",10,-145,32,-144,8,-52,-92,-33,18,-81
"19167","Midwest","West North Central",-59,-73,-25,-115,-211,-205,-96,-440,-262,-205
"19169","Midwest","West North Central",-204,73,-176,488,556,-248,-828,-812,-1208,-369
"19171","Midwest","West North Central",-42,-103,-143,-62,-157,-119,-49,-166,-185,-42
"19173","Midwest","West North Central",-8,-4,-55,-34,-69,53,-45,-84,55,-48
"19175","Midwest","West North Central",-22,25,54,2,24,-170,-50,72,-153,-53
"19177","Midwest","West North Central",-13,-60,-65,-30,-34,-80,-47,-86,-145,40
"19179","Midwest","West North Central",-1,-300,-124,-55,-216,-64,-365,-473,-129,-154
"19181","Midwest","West North Central",46,153,88,264,335,486,717,606,781,308
"19183","Midwest","West North Central",-19,123,49,-45,4,41,-97,83,-195,-142
"19185","Midwest","West North Central",11,-88,15,35,-21,-12,77,33,-89,43
"19187","Midwest","West North Central",-133,-170,-424,-15,-302,-66,-351,-179,-360,-467
"19189","Midwest","West North Central",-28,-125,-88,-134,91,58,27,-21,-36,-162
"19191","Midwest","West North Central",0,-14,-7,-165,-141,55,-348,-281,-128,-16
"19193","Midwest","West North Central",-41,-463,-1195,-837,-833,-511,-646,-1205,-197,7
"19195","Midwest","West North Central",-10,-11,-57,11,69,-41,-23,-12,-41,-40
"19197","Midwest","West North Central",-33,-133,-26,-19,-87,-76,-38,-66,-66,-132
"20001","Midwest","West North Central",-14,13,-10,-188,-153,-184,-8,-110,-40,-115
"20003","Midwest","West North Central",-10,-41,-124,-68,18,-65,5,41,13,8
"20005","Midwest","West North Central",-51,-128,-5,-115,-222,-114,-47,-79,-130,-90
"20007","Midwest","West North Central",-20,48,-57,46,-37,-44,-148,-101,-107,-41
"20009","Midwest","West North Central",-10,-17,-220,-179,-228,-214,-353,-497,-326,-250
"20011","Midwest","West North Central",-14,-236,-100,-89,-97,-96,-137,-6,-70,-46
"20013","Midwest","West North Central",-5,-9,-129,29,-135,-80,-98,-9,-1,-49
"20015","Midwest","West North Central",3,-290,-356,-163,53,222,256,83,-179,-34
"20017","Midwest","West North Central",3,9,-17,-49,-26,4,-12,25,-44,44
"20019","Midwest","West North Central",0,-17,-23,-26,-48,-55,1,-20,0,-42
"20021","Midwest","West North Central",-31,-129,-155,-233,-115,-206,-296,-72,-47,-54
"20023","Midwest","West North Central",-2,-12,-15,16,5,-18,-5,10,-35,24
"20025","Midwest","West North Central",-12,-68,56,10,-50,-13,-12,-61,3,-1
"20027","Midwest","West North Central",17,-4,-24,-133,-82,-11,-185,-91,-17,13
"20029","Midwest","West North Central",8,-117,-11,-71,-7,-107,-98,-110,-170,74
"20031","Midwest","West North Central",9,-82,-9,-68,11,-82,67,-121,-4,-67
"20033","Midwest","West North Central",4,4,34,23,32,-107,26,-66,-14,-40
"20035","Midwest","West North Central",-59,-133,-29,-152,-414,-212,-108,-341,-143,-240
"20037","Midwest","West North Central",-15,-112,-14,-260,-246,-368,-284,-201,-165,-268
"20039","Midwest","West North Central",-8,4,-12,28,-8,26,-84,51,-2,-29
"20041","Midwest","West North Central",1,-119,70,-249,-143,-99,-226,-108,-131,-217
"20043","Midwest","West North Central",4,-29,-78,-29,-35,-58,-79,-40,21,-57
"20045","Midwest","West North Central",110,24,-446,273,560,284,301,-39,33,342
"20047","Midwest","West North Central",8,-43,-35,-16,52,-70,-51,-10,-47,-28
"20049","Midwest","West North Central",-8,-65,-109,2,47,-96,-51,7,-13,58
"20051","Midwest","West North Central",-47,138,100,-229,-227,-172,-257,-295,-197,-184
"20053","Midwest","West North Central",22,-24,5,-87,16,-6,14,21,-102,-49
"20055","Midwest","West North Central",7,-554,-590,-691,-608,-682,-888,-607,-718,-574
"20057","Midwest","West North Central",71,-139,-310,-470,-771,-1073,-827,-854,-916,-842
"20059","Midwest","West North Central",-1,-246,-103,-165,-255,-163,9,105,-70,-136
"20061","Midwest","West North Central",571,-925,1271,-2243,-1374,-926,-2468,-2187,-1591,-1793
"20063","Midwest","West North Central",-3,41,29,48,-38,-56,-76,3,-17,33
"20065","Midwest","West North Central",11,39,-51,10,-40,41,-14,-63,5,24
"20067","Midwest","West North Central",-10,-5,-134,-36,-129,-137,-123,-245,-250,-210
"20069","Midwest","West North Central",6,21,-178,-21,27,-39,-103,-54,-5,-159
"20071","Midwest","West North Central",11,-8,16,6,10,6,-22,-43,-10,-13
"20073","Midwest","West North Central",-8,-29,-150,-19,-44,-30,-83,3,-29,-14
"20075","Midwest","West North Central",1,-84,-10,-36,-20,-127,32,-36,-39,-88
"20077","Midwest","West North Central",-5,-45,-54,-15,-24,-39,-92,-72,-40,-40
"20079","Midwest","West North Central",20,-137,9,-129,-205,140,-124,-344,-234,172
"20081","Midwest","West North Central",9,-70,-62,-127,-61,-28,-91,-22,-62,-53
"20083","Midwest","West North Central",-5,39,-34,-26,-53,-28,-32,14,-34,-27
"20085","Midwest","West North Central",15,-79,-69,-133,100,-183,-48,22,-72,-138
"20087","Midwest","West North Central",11,-185,-74,-103,14,22,21,105,-61,167
"20089","Midwest","West North Central",-2,44,-16,22,-8,-59,-84,-30,-10,38
"20091","Midwest","West North Central",239,2072,1848,2326,1606,1145,845,1579,2574,299
"20093","Midwest","West North Central",7,-58,-31,-75,-11,-37,-78,9,-34,-146
"20095","Midwest","West North Central",-7,32,-35,17,-129,-13,-179,-33,32,-48
"20097","Midwest","West North Central",12,-25,-50,7,-6,21,-82,-28,-1,-20
"20099","Midwest","West North Central",-64,-138,-229,-302,-110,-154,-306,-201,-238,-312
"20101","Midwest","West North Central",-8,14,-56,17,-34,-25,-20,-35,16,-7
"20103","Midwest","West North Central",153,150,-97,-43,-61,-75,598,515,5,-58
"20105","Midwest","West North Central",-2,-3,-53,-15,28,-47,-54,-29,-28,-22
"20107","Midwest","West North Central",-15,-2,-115,97,-6,46,31,108,84,-36
"20109","Midwest","West North Central",9,-5,28,-14,5,23,7,-14,-13,-40
"20111","Midwest","West North Central",-138,-208,-365,-310,-563,-248,17,-289,-102,-265
"20113","Midwest","West North Central",-35,34,85,202,-438,-238,-178,315,-96,47
"20115","Midwest","West North Central",-4,-76,-116,-143,22,-69,12,-7,-4,-10
"20117","Midwest","West North Central",-12,-101,36,-33,-33,-96,-76,-75,23,-29
"20119","Midwest","West North Central",17,-82,-151,-127,49,-85,-87,3,-142,-78
"20121","Midwest","West North Central",40,-200,-221,88,-70,-144,107,418,220,392
"20123","Midwest","West North Central",-19,-41,36,13,-64,16,-84,-44,-31,-103
"20125","Midwest","West North Central",-105,-583,-423,-102,-447,-755,-620,-438,-289,-290
"20127","Midwest","West North Central",-9,-22,0,-137,-40,-23,-57,-82,69,50
"20129","Midwest","West North Central",-8,-57,-56,-34,-61,-73,-151,-52,-76,-116
"20131","Midwest","West North Central",-14,-60,8,9,-13,-17,-51,-41,9,36
"20133","Midwest","West North Central",-31,-54,-78,-81,-73,-82,-216,-64,-117,-67
"20135","Midwest","West North Central",3,24,-27,-7,4,-65,-50,-84,-38,-30
"20137","Midwest","West North Central",5,9,-65,37,-84,19,-44,-63,0,-49
"20139","Midwest","West North Central",-10,50,-157,-64,-91,-52,-27,34,136,48
"20141","Midwest","West North Central",-18,-4,-9,7,-43,-79,-29,-35,-74,-45
"20143","Midwest","West North Central",-8,-26,-4,5,-10,-90,-7,-63,-31,-32
"20145","Midwest","West North Central",-1,16,-111,10,-11,-34,-31,-44,-89,-155
"20147","Midwest","West North Central",-5,-62,-11,30,-53,-77,1,-6,-82,-27
"20149","Midwest","West North Central",43,37,95,66,-2,210,278,124,99,17
"20151","Midwest","West North Central",-22,-9,79,7,-27,-113,-160,-66,-163,-189
"20153","Midwest","West North Central",-9,22,4,64,-5,-35,0,-14,12,10
"20155","Midwest","West North Central",44,-129,-227,-98,-339,-142,-412,-500,-315,-340
"20157","Midwest","West North Central",-14,0,-14,-31,14,-14,-14,53,5,-18
"20159","Midwest","West North Central",17,-26,-99,-20,3,-79,-155,-199,-81,40
"20161","Midwest","West North Central",58,580,1991,-2086,-1989,-1124,-3458,-2090,-58,-1398
"20163","Midwest","West North Central",-2,12,13,-23,0,-6,-56,-64,-46,-55
"20165","Midwest","West North Central",16,-81,21,-11,15,-49,-16,19,20,-22
"20167","Midwest","West North Central",17,7,11,-7,48,41,-38,-51,-1,-15
"20169","Midwest","West North Central",46,-268,-210,-356,-425,-333,-657,-576,-244,-346
"20171","Midwest","West North Central",14,-79,-40,51,35,-46,22,-40,-36,-83
"20173","Midwest","West North Central",-326,-2857,-1633,-2306,-1824,-2129,-2019,-2870,-2542,-240
"20175","Midwest","West North Central",-57,-175,-197,-423,-452,-556,-852,-1022,-748,-878
"20177","Midwest","West North Central",69,-329,-753,-1123,-945,-526,-1014,-606,-1072,-743
"20179","Midwest","West North Central",-6,-11,-15,11,4,-26,8,38,-12,-14
"20181","Midwest","West North Central",-4,30,67,-41,-22,-111,-20,-5,-44,5
"20183","Midwest","West North Central",9,-46,-8,-14,75,-14,-21,-10,-29,-10
"20185","Midwest","West North Central",-9,-34,-20,18,-55,-50,-33,2,-28,-9
"20187","Midwest","West North Central",11,-39,-68,-1,-62,-83,2,-68,-45,-42
"20189","Midwest","West North Central",15,-180,64,-2,-46,-105,-196,-126,-59,-106
"20191","Midwest","West North Central",-54,-339,-149,-133,-153,-15,-245,-91,-103,-189
"20193","Midwest","West North Central",30,-29,-53,-22,-161,-2,-94,-72,-183,-1
"20195","Midwest","West North Central",3,-45,10,14,-31,11,-40,19,-39,26
"20197","Midwest","West North Central",-11,-21,-52,-12,-108,-76,-24,-59,45,-7
"20199","Midwest","West North Central",3,46,-6,35,-56,3,-9,16,-39,21
"20201","Midwest","West North Central",-10,46,-95,-114,-17,-47,-20,-86,-31,-34
"20203","Midwest","West North Central",3,15,-27,-46,-9,-22,-36,-4,-28,-7
"20205","Midwest","West North Central",-14,-126,-132,-11,-104,-99,-143,2,-38,-141
"20207","Midwest","West North Central",0,27,-39,-19,-18,-19,57,-38,49,-40
"20209","Midwest","West North Central",-195,-1488,-501,-540,-714,-760,-1105,-1190,-1426,-1445
"21001","South","East South Central",76,218,-40,137,94,-116,50,23,-58,38
"21003","South","East South Central",31,104,31,44,111,169,36,189,218,195
"21005","South","East South Central",31,47,46,1,84,0,190,326,79,59
"21007","South","East South Central",13,13,35,-5,-44,56,-149,7,-3,-82
"21009","South","East South Central",-43,105,190,203,7,446,122,-76,303,98
"21011","South","East South Central",12,103,49,141,126,47,40,95,8,26
"21013","South","East South Central",26,-15,-383,-271,-149,-407,-112,-266,-316,-398
"21015","South","East South Central",177,1137,363,360,613,413,387,591,111,943
"21017","South","East South Central",-24,5,-79,-82,11,94,-41,-22,38,-299
"21019","South","East South Central",59,-139,-179,-301,-107,-347,-327,-211,-396,-460
"21021","South","East South Central",184,145,247,537,140,-51,161,20,124,-14
"21023","South","East South Central",8,-21,-68,-71,-67,-68,71,-79,-18,28
"21025","South","East South Central",10,-75,-167,-62,-127,7,-143,-206,-142,-113
"21027","South","East South Central",17,237,-173,-19,-165,112,-29,124,182,143
"21029","South","East South Central",101,422,417,775,887,442,365,900,614,553
"21031","South","East South Central",13,-24,3,-45,6,-18,-42,110,-46,126
"21033","South","East South Central",9,46,-16,-93,-27,-35,-109,47,51,58
"21035","South","East South Central",134,218,246,182,-140,31,-83,-48,154,71
"21037","South","East South Central",170,167,-431,-248,116,-213,-118,289,291,-130
"21039","South","East South Central",-2,-36,-18,-66,-1,-112,-63,20,-62,17
"21041","South","East South Central",-34,102,-176,-68,-123,-71,-76,70,-21,-98
"21043","South","East South Central",-4,-152,-20,-114,-224,-119,-200,-105,-170,-221
"21045","South","East South Central",14,-41,78,-13,-235,-32,36,28,110,254
"21047","South","East South Central",-188,-1614,-297,-2614,-1457,-1697,-2463,-1447,-886,-1026
"21049","South","East South Central",11,-199,204,-153,102,14,152,51,260,82
"21051","South","East South Central",-61,-73,-103,-373,-168,-162,-314,-357,-173,-178
"21053","South","East South Central",1,-88,99,-100,40,0,17,24,-36,55
"21055","South","East South Central",5,-22,-3,-7,2,21,-6,-77,-87,-68
"21057","South","East South Central",4,18,-6,-46,-52,56,11,1,14,-41
"21059","South","East South Central",7,96,234,20,-286,536,-30,50,110,332
"21061","South","East South Central",40,18,-120,7,-22,26,104,191,54,-59
"21063","South","East South Central",4,-54,-137,-62,-20,6,-62,14,-3,20
"21065","South","East South Central",14,-42,-124,5,22,-30,-11,-57,19,4
"21067","South","East South Central",177,1720,891,372,-926,1004,617,-484,-1349,-943
"21069","South","East South Central",23,68,28,0,-58,94,-108,-68,2,59
"21071","South","East South Central",444,-197,-674,-695,-501,-433,-473,-608,-286,-200
"21073","South","East South Central",-20,-99,21,-115,118,229,135,124,215,97
"21075","South","East South Central",10,-52,-161,-123,-107,5,-77,29,-70,-62
"21077","South","East South Central",2,-33,-75,-12,49,-35,76,-16,37,75
"21079","South","East South Central",11,-92,93,-18,0,211,130,79,51,144
"21081","South","East South Central",-30,-74,-410,-40,123,-212,72,-46,-19,-96
"21083","South","East South Central",42,189,-124,-213,97,-417,-134,-134,2,-144
"21085","South","East South Central",43,-21,44,119,106,21,-36,168,60,152
"21087","South","East South Central",-6,-38,82,-89,-111,-30,49,82,-8,-26
"21089","South","East South Central",15,2,-71,-162,-148,-197,-71,-188,-78,-112
"21091","South","East South Central",-7,21,7,-22,36,-89,44,14,-51,-47
"21093","South","East South Central",1043,-512,-466,-383,-1526,-3150,9,574,1579,271
"21095","South","East South Central",-32,-144,-442,-133,-442,-462,-414,-245,-256,-197
"21097","South","East South Central",-22,-113,-79,-65,74,23,-82,157,30,94
"21099","South","East South Central",10,11,52,75,-16,-125,61,169,83,47
"21101","South","East South Central",19,2,-1,-159,9,-58,-173,-342,-403,-297
"21103","South","East South Central",-28,-23,-64,82,119,7,274,123,90,51
"21105","South","East South Central",-17,-54,-37,-7,0,-39,9,-66,-74,-24
"21107","South","East South Central",-21,-56,-202,-120,-240,-73,-393,-191,-255,-325
"21109","South","East South Central",23,-80,-64,70,-108,7,23,45,19,-60
"21111","South","East South Central",-148,-309,187,1814,-1703,-1600,-2012,-1347,-4036,-3669
"21113","South","East South Central",40,-117,175,250,415,638,84,736,307,125
"21115","South","East South Central",55,16,-34,42,-230,-110,-204,-221,-109,-138
"21117","South","East South Central",-109,-564,150,297,-515,-65,-366,-81,-104,2
"21119","South","East South Central",-5,-13,-121,-9,-174,-233,-158,-189,-115,-205
"21121","South","East South Central",-6,41,-445,57,-151,-106,28,7,-148,-117
"21123","South","East South Central",6,56,-146,-16,97,25,-87,185,90,86
"21125","South","East South Central",100,164,28,-102,96,-128,23,135,302,115
"21127","South","East South Central",15,73,-61,10,-64,-27,-20,-111,-144,-210
"21129","South","East South Central",-186,22,-86,-717,-45,-25,-128,13,465,373
"21131","South","East South Central",-1,-23,-105,-110,-145,-174,-180,-69,-109,-206
"21133","South","East South Central",56,-152,-354,-423,-162,-290,-239,-356,-397,-185
"21135","South","East South Central",-10,-9,-25,-98,41,-147,-93,-101,-87,10
"21137","South","East South Central",-15,-79,-341,-29,-31,-87,-21,80,72,-104
"21139","South","East South Central",23,21,-52,-92,20,-21,-47,90,12,-21
"21141","South","East South Central",-15,-51,-148,168,-216,-49,-128,329,-45,70
"21143","South","East South Central",12,150,49,55,24,152,-169,102,-48,120
"21145","South","East South Central",-36,325,-161,-206,16,-322,312,47,-18,213
"21147","South","East South Central",21,-99,-275,-146,-43,-8,-373,-144,-55,-54
"21149","South","East South Central",-8,-26,-23,-21,-61,30,-28,-109,48,-44
"21151","South","East South Central",417,967,255,113,768,761,951,1232,787,661
"21153","South","East South Central",-4,-102,-179,-134,-2,-172,-125,-136,-159,-121
"21155","South","East South Central",5,64,-122,-38,-913,62,-100,125,31,-88
"21157","South","East South Central",31,-79,86,53,-150,146,311,194,-5,37
"21159","South","East South Central",-38,-90,-92,-64,-160,-210,-302,-442,-126,-81
