"fips","region","division","domesticmig2010","domesticmig2011","domesticmig2012","domesticmig2013","domesticmig2014","domesticmig2015","domesticmig2016","domesticmig2017","domesticmig2018","domesticmig2019"
"02150","West","Pacific",-38,-48,-41,-239,-438,-413,-312,-451,-399,-400
"02158","West","Pacific",-42,3,-42,18,-62,-91,-192,-119,-82,-146
"02164","West","Pacific",-5,0,-27,-2,-51,-72,-25,-15,-48,-28
"02170","West","Pacific",483,1163,1080,1277,1295,1925,2051,1154,149,466
"02180","West","Pacific",22,55,-139,-122,-182,-111,-78,-104,-62,-147
"02185","West","Pacific",3,-71,-24,-51,-157,-124,-202,-7,-75,-114
"02188","West","Pacific",-18,-31,-128,-144,-106,-121,-213,-47,-195,-156
"02195","West","Pacific",0,3,-11,-32,-63,-36,-9,-16,-33,19
"02198","West","Pacific",26,127,-6,-19,0,-3,-11,-85,-87,-166
"02220","West","Pacific",-2,-79,22,-125,-198,-101,-99,-161,-137,-96
"02230","West","Pacific",-4,-21,30,15,22,22,35,29,-4,20
"02240","West","Pacific",10,-10,-108,-267,-136,-211,-38,-36,-59,-129
"02261","West","Pacific",20,-7,-96,-74,-367,-217,-71,-160,-127,-13
"02275","West","Pacific",2,10,20,17,-26,13,28,18,6,-30
"02282","West","Pacific",-4,-14,-2,-21,-3,-26,-30,-13,-11,-22
"02290","West","Pacific",13,-27,-37,-97,-126,-36,-69,-37,-70,-139
"04001","West","Mountain",117,-156,-463,-454,-998,-1215,1,-235,-56,-112
"04003","West","Mountain",235,449,-2093,-3228,-3072,-1700,-1192,-1058,1483,-595
"04005","West","Mountain",-105,-1559,672,-629,-364,370,501,-162,890,313
"04007","West","Mountain",13,-110,-361,52,134,89,588,417,456,504
"04009","West","Mountain",-146,-301,-394,97,243,-625,-372,-643,302,607
"04011","West","Mountain",-105,158,116,79,313,103,-26,-304,-97,-52
"04012","West","Mountain",-9,64,-86,10,-48,-110,171,82,387,123
"04013","West","Mountain",-454,10846,33553,30534,33456,39263,44658,38534,49531,57477
"04015","West","Mountain",259,2900,1363,800,1153,2298,2291,3221,4072,4724
"04017","West","Mountain",-38,-1030,-982,-876,-144,-747,202,82,813,311
"04019","West","Mountain",115,900,-683,-1797,803,-747,2763,6076,8026,8801
"04021","West","Mountain",2434,-4767,1119,-174,6458,7396,8968,12235,13468,14180
"04023","West","Mountain",-143,-261,-715,-855,-787,-718,-557,-264,-551,-257
"04025","West","Mountain",137,638,1721,3182,4099,3905,4777,4747,5154,4636
"04027","West","Mountain",812,3291,-2923,-2691,-1298,-2001,-453,-42,235,357
"05001","South","West South Central",-39,-137,44,-213,-283,-151,-188,-271,-141,-229
"05003","South","West South Central",-26,-188,-207,-242,-323,-97,-294,-174,-250,-313
"05005","South","West South Central",56,194,100,232,220,484,322,499,644,656
"05007","South","West South Central",529,4051,3052,2368,2742,4318,4897,4837,3658,4823
"05009","South","West South Central",16,191,179,-8,-266,24,150,205,-29,114
"05011","South","West South Central",-15,-33,-148,-143,-64,-2,-32,-121,53,-56
"05013","South","West South Central",-16,-103,37,-66,-4,46,-35,88,47,-28
"05015","South","West South Central",60,-105,136,123,-103,-21,-113,130,204,265
"05017","South","West South Central",-17,-100,-238,-119,-165,-192,-55,-261,-165,-283
"05019","South","West South Central",-46,19,-190,-160,-42,-36,50,-395,122,14
"05021","South","West South Central",16,-115,-74,-129,-105,-60,-83,-100,-48,-170
"05023","South","West South Central",55,0,20,-17,123,-132,-32,47,93,90
"05025","South","West South Central",7,0,-80,-74,-108,-97,4,-48,-162,-25
"05027","South","West South Central",180,-33,-339,-129,-297,7,-109,-304,-64,-120
"05029","South","West South Central",-28,-118,3,-63,-79,-49,-35,-5,34,14
"05031","South","West South Central",117,998,887,957,363,973,629,624,1081,1044
"05033","South","West South Central",6,-271,-92,-439,-154,-120,166,513,370,-227
"05035","South","West South Central",-66,-732,-778,-632,-489,-894,-48,-796,-526,-591
"05037","South","West South Central",-44,-57,-112,-170,-356,98,-242,-185,-182,-202
"05039","South","West South Central",-34,-15,-66,-29,-161,-127,-103,-33,-164,-133
"05041","South","West South Central",-41,-273,-169,-137,-262,-252,-127,-163,-201,-108
"05043","South","West South Central",146,-9,-17,-168,-66,-68,-62,-218,-68,-134
"05045","South","West South Central",570,1377,1334,6,598,-79,221,632,951,232
"05047","South","West South Central",-3,-102,-15,-11,-67,-47,-49,205,-49,-34
"05049","South","West South Central",17,100,-33,43,-19,90,12,96,259,232
"05051","South","West South Central",137,980,428,965,349,319,693,366,971,726
"05053","South","West South Central",29,44,71,-29,44,-53,70,56,101,107
"05055","South","West South Central",74,465,316,-143,526,360,336,210,291,-87
"05057","South","West South Central",-46,-158,-226,3,-168,-325,-138,-224,-213,-199
"05059","South","West South Central",178,-124,395,46,-32,134,-15,222,124,119
"05061","South","West South Central",1,-15,-183,-161,-87,-163,-11,-19,-47,-99
"05063","South","West South Central",132,-66,-17,-153,135,-30,5,275,244,-17
"05065","South","West South Central",10,-76,16,-60,205,26,61,254,-8,113
"05067","South","West South Central",44,-119,-183,81,-127,-153,-67,-221,-240,-12
"05069","South","West South Central",-169,-1515,-1524,-1578,-903,-689,-1517,-1187,-1163,-1214
"05071","South","West South Central",0,-12,80,-79,-108,36,-89,192,185,-150
"05073","South","West South Central",-6,-69,-62,-110,-101,-121,-114,-64,-109,-20
"05075","South","West South Central",85,-175,-189,48,-18,-248,1,6,-83,32
"05077","South","West South Central",-48,-95,-79,-130,-155,-150,-327,-187,-136,-80
"05079","South","West South Central",-72,238,-184,-67,-29,-134,-132,-234,-239,-113
"05081","South","West South Central",-25,-136,-1,-180,-224,-48,53,-16,-50,6
"05083","South","West South Central",-12,-60,-353,80,-132,-162,-18,-7,-19,-156
"05085","South","West South Central",187,294,89,235,135,-421,108,761,474,-242
"05087","South","West South Central",-25,-13,-108,39,-6,-27,344,155,13,152
"05089","South","West South Central",14,84,17,-60,75,-102,235,154,363,172
"05091","South","West South Central",16,23,-237,-327,-97,187,-129,-23,-387,-123
"05093","South","West South Central",-151,-504,-665,-987,-645,-703,-984,-862,-919,-652
"05095","South","West South Central",-39,-41,-225,-138,-41,-155,-220,-133,-118,-133
"05097","South","West South Central",-2,-70,6,-68,-74,-83,-42,14,67,133
"05099","South","West South Central",-23,16,-80,-149,-83,-134,-119,-35,1,-51
