"GeoFips","GeoName","2002","2003","2004","2005","2006","2007","2008","2009","2010"
"02070","Dillingham Census Area, AK*",169859,174069,170106,181774,180443,184352,189347,210392,228779
"02090","Fairbanks North Star Borough, AK",3500937,3644461,3840901,4438848,4865846,5170649,5769400,5686472,5969384
"02100","Haines Borough, AK",57412,58212,65124,69584,75581,77440,76996,81051,84825
"02105","Hoonah-Angoon Census Area, AK*","NA","NA","NA","NA","NA","NA",55450,55355,61850
"02110","Juneau City and Borough, AK",1323392,1397760,1480231,1579680,1819629,1977240,1921911,2024221,2206383
"02122","Kenai Peninsula Borough, AK",1700611,1930457,2143442,1948569,2223083,2376455,2383014,2371911,2547568
"02130","Ketchikan Gateway Borough, AK*",542450,561869,568281,607076,635789,700446,731329,773594,783126
"02150","Kodiak Island Borough, AK",471793,502609,519892,540287,551223,573564,597213,644669,686581
"02158","Kusilvak Census Area, AK*",82396,92281,95853,96275,97594,106479,112172,121578,125315
"02164","Lake and Peninsula Borough, AK*",53433,49486,52154,53163,64253,126305,84033,69600,71720
"02170","Matanuska-Susitna Borough, AK",1094943,1199487,1303317,1426867,1511632,1588165,1670675,1794193,1950304
"02180","Nome Census Area, AK*",251385,263400,280693,288571,279112,344173,387344,334628,397838
"02185","North Slope Borough, AK",4278543,4950116,6677738,9569555,12049178,14240033,18497963,12581996,13461977
"02188","Northwest Arctic Borough, AK",290907,321823,357267,407788,561365,657293,576452,589357,698692
"02195","Petersburg Borough, AK*","NA","NA","NA","NA","NA","NA","NA",152202,168957
"02198","Prince of Wales-Hyder Census Area, AK*","NA","NA","NA","NA","NA","NA","NA",165093,180444
"02201","Prince of Wales-Outer Ketchikan Census Area, AK*",128071,122550,131945,133979,132928,156635,144075,"NA","NA"
"02220","Sitka City and Borough, AK",306469,326541,329562,346795,361082,369167,377689,402401,439154
"02230","Skagway Municipality, AK*","NA","NA","NA","NA","NA","NA",66645,67599,75663
"02232","Skagway-Hoonah-Angoon Census Area, AK*",101459,92519,90703,98867,109153,134397,"NA","NA","NA"
"02240","Southeast Fairbanks Census Area, AK*",173157,195993,213469,313428,511561,688970,638940,680792,762473
"02261","Valdez-Cordova Census Area, AK*",966048,1025097,1081339,932569,1055270,1221042,892437,595786,556008
"02275","Wrangell City and Borough, AK*","NA","NA","NA","NA","NA","NA","NA",62337,70753
"02280","Wrangell-Petersburg Census Area, AK*",222078,201590,190251,197281,213468,237607,205603,"NA","NA"
"02282","Yakutat City and Borough, AK*",21533,21935,24568,25665,27246,32868,30960,29532,31879
"02290","Yukon-Koyukuk Census Area, AK*",190492,198689,194569,193719,220989,283807,278142,285116,348690
"04001","Apache, AZ",1613586,1714644,1714264,1834377,2025125,2140878,2382603,2519526,2736262
"04003","Cochise, AZ",2690400,2979017,3173717,3488874,3821164,4183114,4279718,4387577,4574454
"04005","Coconino, AZ",3900828,4087149,4364497,4759476,5242661,5802447,5761551,5695062,5935870
"04007","Gila, AZ",945890,983447,1061936,1198387,1496975,1717312,1682108,1689606,1842377
"04009","Graham, AZ",424256,466858,492250,540695,640302,789826,726397,679446,725000
"04011","Greenlee, AZ",407246,467366,601398,938469,1271569,1400017,1702231,1268639,1476353
"04012","La Paz, AZ",377148,416644,481488,524681,557806,633155,684200,587090,558453
"04013","Maricopa, AZ",126642328,136082507,145832667,162628455,175993875,183674211,179927192,167349227,169134511
"04015","Mohave, AZ",3212086,3392795,3769560,4156029,4599886,4853041,4689818,4435782,4439825
"04017","Navajo, AZ",2050236,2213272,2264061,2556600,2810855,3023546,2992651,3011587,2965257
"04019","Pima, AZ",25348095,27304541,27694888,30114034,32312858,34607444,35248178,33824245,34876663
"04021","Pinal, AZ",3322598,3604956,3849026,4292697,4993054,6028356,6123928,5865716,5957211
"04023","Santa Cruz, AZ",987242,1134871,1113956,1209049,1253385,1345516,1407088,1358492,1464712
"04025","Yavapai, AZ",3467691,3781534,4217014,4865547,5521108,5722759,5704642,5400774,5318845
"04027","Yuma, AZ",4085969,4135202,4759743,5125226,5613571,6323630,5950297,5691835,6119497
"05001","Arkansas, AR",604715,676266,734433,699978,756659,745055,793950,872912,863596
"05003","Ashley, AR",647292,641976,677890,717775,794957,812453,816673,813732,855327
"05005","Baxter, AR",820937,830172,862760,938716,1000810,1052308,1096822,1062164,1092547
"05007","Benton, AR",5716462,6148978,6934285,7686189,7979481,8188251,8375724,8360232,8861274
"05009","Boone, AR",854293,850366,927160,984508,1060425,1085368,1102560,1037853,1091027
"05011","Bradley, AR",220639,251286,279619,286641,271755,268210,250828,238434,275963
"05013","Calhoun, AR",248223,266976,292704,293330,318685,314514,375010,382740,358503
"05015","Carroll, AR",558335,548561,613101,633707,671242,666988,661296,615759,658439
"05017","Chicot, AR",217492,245180,258727,257669,253941,278079,263765,283851,291638
"05019","Clark, AR",548573,576420,594637,616511,618889,650123,710754,712936,692182
"05021","Clay, AR",297172,346334,342247,327813,341240,334898,350907,384489,382693
"05023","Cleburne, AR",432887,420140,445586,465297,489847,534511,587640,581307,738122
"05025","Cleveland, AR",92576,86977,114357,113082,100526,114381,122450,106899,108223
"05027","Columbia, AR",577403,601367,668312,715769,814892,856116,900298,753786,787333
"05029","Conway, AR",419807,420975,458825,471803,502853,614532,815075,751950,854352
"05031","Craighead, AR",2351565,2554175,2759620,2949415,3016150,3026741,3143351,3241711,3500395
"05033","Crawford, AR",995587,1066084,1154727,1248438,1355949,1359163,1379785,1393258,1496968
"05035","Crittenden, AR",1076936,1152261,1197491,1270643,1363560,1398084,1393401,1377972,1409772
"05037","Cross, AR",315163,366832,435609,404764,434179,407163,407357,403271,408590
"05039","Dallas, AR",160036,166054,176546,194349,191938,199355,199214,187472,193404
"05041","Desha, AR",330958,392469,386543,395109,399900,426554,442505,472932,514618
"05043","Drew, AR",360147,404440,433759,455008,460787,470322,484023,471243,518563
"05045","Faulkner, AR",1990299,2069938,2265423,2417308,2770807,2975014,3109086,3184120,3424638
"05047","Franklin, AR",313729,349498,412625,443800,455977,471412,486975,396183,396659
"05049","Fulton, AR",115519,122232,129884,137597,154952,159740,153516,161582,166621
"05051","Garland, AR",2041704,2139009,2258111,2401334,2493969,2526816,2538532,2526602,2650566
"05053","Grant, AR",222068,241747,253912,266511,282009,289725,282327,296984,307391
"05055","Greene, AR",835707,903003,969414,1089627,1236616,1374943,1331252,1033887,1122055
"05057","Hempstead, AR",557510,565103,599089,568672,584904,571729,574744,585510,652711
"05059","Hot Spring, AR",524124,527292,601029,643777,745952,743345,746381,736601,731970
"05061","Howard, AR",484470,486496,534151,546013,526615,539720,540821,479517,478323
"05063","Independence, AR",1296999,1373388,1465106,1566541,1567019,1564736,1580319,1605294,1736955
"05065","Izard, AR",197667,213455,226279,227689,228358,230070,228671,220411,232233
"05067","Jackson, AR",345760,384202,447447,431843,472884,476351,510615,482916,502616
"05069","Jefferson, AR",2485576,2627351,2792441,2877160,3055694,2982488,3098714,3153166,3284702
