"GeoFips","GeoName","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"01001","Autauga, AL",1316842,1487130,1457702,1503623,1660498,1716235,1655670,1739294,1737286
"01003","Baldwin, AL",4807109,5051126,5306439,5512315,5851578,6183519,6436833,6875914,7223316
"01005","Barbour, AL",724247,723755,831850,788481,790096,763866,783249,828063,834832
"01007","Bibb, AL",372407,371222,386524,391866,384602,395153,403787,424482,467477
"01009","Blount, AL",772505,809863,880086,888896,917442,876333,943993,980678,975948
"01011","Bullock, AL",224906,249552,232138,215599,218664,232873,238795,250253,272268
"01013","Butler, AL",559415,559656,582905,593153,615852,601096,627398,660163,664893
"01015","Calhoun, AL",4153945,4185918,4091975,4047759,4041585,4117248,4218400,4402334,4590003
"01017","Chambers, AL",672987,750106,996526,977011,987823,921607,876383,906708,953730
"01019","Cherokee, AL",475347,472852,525307,511811,529936,521848,546458,591293,598746
"01021","Chilton, AL",781607,826937,881871,863768,899018,923432,976236,1032642,1088804
"01023","Choctaw, AL",464666,564511,575598,574949,548765,536643,538181,603115,610383
"01025","Clarke, AL",760688,794173,833313,835626,841959,836702,825412,876370,898449
"01027","Clay, AL",273474,280554,310758,319745,341114,368041,404283,449094,446444
"01029","Cleburne, AL",248745,266164,287578,304564,313774,296729,306775,318536,293412
"01031","Coffee, AL",1153916,1208587,1242826,1293018,1396531,1406574,1426212,1476132,1508238
"01033","Colbert, AL",2342966,2380790,2664387,2654110,2632285,2518189,2469725,2599129,2668227
"01035","Conecuh, AL",492552,512476,537801,472137,389071,384416,399073,411683,418672
"01037","Coosa, AL",167501,161870,179602,173496,180487,187210,185047,191560,202546
"01039","Covington, AL",1042397,1115077,1180349,1205086,1222913,1221217,1257419,1279032,1283429
"01041","Crenshaw, AL",360821,415398,446086,422443,444383,405783,438238,453894,462069
"01043","Cullman, AL",2181436,2317220,2520730,2563808,2734390,2742459,2807138,2887628,2910219
"01045","Dale, AL",2760078,2776547,2849232,2727728,2839061,2828346,2836430,2884874,2997937
"01047","Dallas, AL",1218914,1255691,1307246,1320938,1216219,1250639,1267112,1306799,1368839
"01049","DeKalb, AL",1512303,1604667,1806098,1833467,1938704,1847756,2009009,2103214,2081054
"01051","Elmore, AL",1530673,1567279,1663035,1660450,1725677,1784998,1843878,1905416,1968275
"01053","Escambia, AL",1248511,1238072,1288274,1274907,1196880,1195676,1250434,1315032,1353040
"01055","Etowah, AL",2753803,2804122,2852227,2896115,3031903,3101279,3162568,3262625,3348964
"01057","Fayette, AL",472204,458457,422272,345795,359205,366260,353331,369250,386218
"01059","Franklin, AL",868435,874705,926596,879940,902925,903616,980674,1037482,1049427
"01061","Geneva, AL",460660,472030,510088,510541,535590,540564,530829,547413,589539
"01063","Greene, AL",328752,287090,295250,285313,257499,242224,224580,235709,264592
"01065","Hale, AL",303422,304502,315280,305223,306879,318577,307370,295003,308856
"01067","Henry, AL",329665,320920,359101,354378,381222,391085,422347,439728,464128
"01069","Houston, AL",4050041,4200112,4479850,4674234,4839500,5091379,5342577,5528003,5714343
"01071","Jackson, AL",1484799,1553991,1593275,1614546,1548464,1497868,1526982,1578310,1603386
"01073","Jefferson, AL",39047592,40215059,40187166,40801267,41583639,42251539,43598785,45943341,47401978
"01075","Lamar, AL",311232,322889,334840,332004,333996,339570,356077,373607,393749
"01077","Lauderdale, AL",2413129,2493336,2583440,2543384,2563999,2568714,2641083,2736747,2845784
"01079","Lawrence, AL",818017,795551,720198,619588,537234,507741,528585,554929,592912
"01081","Lee, AL",4361023,4616562,4811909,4969230,5330076,5573428,5758681,5944719,6139434
"01083","Limestone, AL",2807681,2973034,3067307,3198868,3311204,3395383,3560828,3616204,3782638
"01085","Lowndes, AL",495724,441713,452220,452607,418438,420909,433142,442639,445003
"01087","Macon, AL",480528,481808,515776,492490,493212,523654,549110,565542,591411
"01089","Madison, AL",19308613,19546170,20122495,20574942,21375873,22172440,23060929,24367527,25685120
"01091","Marengo, AL",652708,668706,695348,712218,711504,730386,716101,756924,796000
"01093","Marion, AL",759786,793948,836587,826922,865217,862023,889395,946987,963606
"01095","Marshall, AL",2625014,2781365,2930209,2916439,3066852,3176623,3336808,3489028,3611518
"01097","Mobile, AL",17471487,17639953,17966250,18394114,18445474,18792229,19268977,20248704,20740796
"01099","Monroe, AL",704183,669390,709620,734591,749540,695034,726641,774300,807742
"01101","Montgomery, AL",11885660,12093404,12374871,12493086,13038105,13468686,13639635,13969922,14470534
"01103","Morgan, AL",4466469,4576025,4700225,4937275,5113201,5396992,5504064,5846654,6109280
"01105","Perry, AL",221249,229076,244477,217005,212221,217825,217899,216104,235527
"01107","Pickens, AL",321767,340364,426276,435287,413283,410348,413756,433006,437726
"01109","Pike, AL",1150282,1171555,1178063,1246452,1312202,1339739,1374919,1395631,1402060
"01111","Randolph, AL",378296,393176,478711,488312,497383,473111,495295,515202,508639
"01113","Russell, AL",1246202,1273019,1350952,1364707,1389383,1431514,1483448,1550763,1580339
"01115","St. Clair, AL",1495112,1641381,1737252,1766914,1808695,1858080,1917077,1998598,2080921
"01117","Shelby, AL",7808293,8166851,8602206,9139982,9980432,10276862,10821422,11323414,11558142
"01119","Sumter, AL",331527,354935,364577,357684,336802,343564,338908,345085,360977
"01121","Talladega, AL",2553714,2697256,2854649,2906193,3022401,3196751,3196932,3348725,3403531
"01123","Tallapoosa, AL",1097359,1159464,1149714,1230162,1300125,1357117,1319995,1361285,1457366
"01125","Tuscaloosa, AL",9407275,9256781,9403383,9221949,9099432,9190809,9903435,10641484,10904237
"01127","Walker, AL",1847334,1806278,1871473,1903507,1963960,1988485,2002572,2167739,2014641
"01129","Washington, AL",828664,756663,808892,898556,823404,862451,871102,888229,931529
"01131","Wilcox, AL",353849,350432,386442,387500,391607,418676,419482,452792,466612
"01133","Winston, AL",607373,624601,680803,677609,686077,696566,727833,768010,814875
"02013","Aleutians East Borough, AK*",118698,123080,140714,144031,218679,246065,245895,223385,242978
"02016","Aleutians West Census Area, AK*",336190,368757,393283,408867,423529,443860,431872,444160,459296
"02020","Anchorage Municipality, AK",20440588,20739537,20705137,21163433,22045385,22182364,22293757,22988337,23604109
"02050","Bethel Census Area, AK*",608218,639993,664808,672883,693383,706844,721254,760014,786424
"02060","Bristol Bay Borough, AK",113196,112924,123085,126838,123513,131975,133434,150265,155290
"02068","Denali Borough, AK*",188940,193419,247370,260338,254300,246513,263770,276490,286407
"02070","Dillingham Census Area, AK*",231189,239829,246901,262817,264493,269257,274076,284148,295965
"02090","Fairbanks North Star Borough, AK",5737156,5559955,5466301,5536407,5523274,5585807,5686025,5957242,5977140
"02100","Haines Borough, AK",84102,85300,92924,93793,100513,101352,108497,118651,124318
"02105","Hoonah-Angoon Census Area, AK*",66214,71599,77839,80231,83192,79049,85214,92331,97851
"02110","Juneau City and Borough, AK",2303217,2332221,2348443,2383790,2306661,2354161,2486608,2558241,2558095
"02122","Kenai Peninsula Borough, AK",2634749,2643475,2819716,3113958,2935588,2632661,2741406,2998444,3028921
"02130","Ketchikan Gateway Borough, AK*",812180,836354,862217,874400,909765,910839,915544,947437,989501
"02150","Kodiak Island Borough, AK",722980,755159,785719,802035,797408,769403,798817,816738,840158
"02158","Kusilvak Census Area, AK*",135072,144050,143975,157413,153399,163462,159431,167190,181696
"02164","Lake and Peninsula Borough, AK*",76460,81826,85045,87031,86492,86131,97579,106954,110912
"02170","Matanuska-Susitna Borough, AK",2086196,2179262,2236143,2324891,2475804,2504453,2496953,2623364,2831292
"02180","Nome Census Area, AK*",417755,397964,405599,425066,434031,412179,452839,469066,486212
"02185","North Slope Borough, AK",15772117,15963029,14059723,12009710,6290119,5349266,6633136,7311880,6191232
"02188","Northwest Arctic Borough, AK",706799,603079,601277,609950,521146,539183,653754,680552,674572
"02195","Petersburg Borough, AK*",186260,189277,181374,179310,181576,173211,174478,186447,197499
"02198","Prince of Wales-Hyder Census Area, AK*",193554,202173,226809,232576,214647,220802,235506,253436,267943
"02201","Prince of Wales-Outer Ketchikan Census Area, AK*","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"02220","Sitka City and Borough, AK",462501,498263,524324,515339,512860,479851,489009,519479,538475
"02230","Skagway Municipality, AK*",75933,92755,94261,91540,85516,97474,103786,105163,113667
"02232","Skagway-Hoonah-Angoon Census Area, AK*","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"02240","Southeast Fairbanks Census Area, AK*",761344,609254,597494,581441,503610,544054,629498,636095,609102
"02261","Valdez-Cordova Census Area, AK*",540253,1537705,2060421,2225190,2208315,2123849,2015781,2170410,2268843
"02275","Wrangell City and Borough, AK*",74297,78203,84783,88437,88248,93287,92847,99158,95995
"02280","Wrangell-Petersburg Census Area, AK*","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"02282","Yakutat City and Borough, AK*",32850,36690,48578,47335,41558,30084,29169,31687,34860
"02290","Yukon-Koyukuk Census Area, AK*",414912,402415,300990,251516,251087,278117,287074,316133,336800
"04001","Apache, AZ",2825055,2731762,2800038,2700120,2707059,2712935,2812003,2923702,2900566
"04003","Cochise, AZ",4622536,4472156,4430186,4417945,4584473,4750530,4754456,4919666,5220287
"04005","Coconino, AZ",6390245,6175325,6594153,6729514,7029881,7249923,7781008,7951877,7887058
"04007","Gila, AZ",2079522,1921593,2063776,1942283,1741852,1675241,1851086,1933238,2052544
"04009","Graham, AZ",793254,880660,756364,796456,797203,929080,1071529,1153239,1278684
"04011","Greenlee, AZ",1728628,1520174,1533546,1721329,1325747,1217831,1634378,1666170,1765019
"04012","La Paz, AZ",622514,593446,632588,602514,693497,690055,708704,737246,792372
"04013","Maricopa, AZ",175982636,185901777,191324175,199252341,211268000,222031134,233282039,249157406,263652777
"04015","Mohave, AZ",4480837,4514684,4707015,4915133,5098948,5303907,5296520,5565876,6005148
"04017","Navajo, AZ",3124650,3102408,3029114,3007018,2963505,2922240,3144552,3307894,3478895
"04019","Pima, AZ",35401144,36578145,36915823,37870714,38711780,40871950,43587907,45993409,48387560
"04021","Pinal, AZ",6649750,6694332,6594185,6972750,6990928,7250357,7608100,8135557,8460999
"04023","Santa Cruz, AZ",1536404,1558016,1587306,1614108,1686529,1748516,1936001,2033994,2111098
"04025","Yavapai, AZ",5306519,5407372,5572683,5880126,6104406,6423848,6923210,7202605,7569941
"04027","Yuma, AZ",6337456,6016301,6466574,6429011,6911147,7278959,7755093,8036376,8556158
"05001","Arkansas, AR",878853,920500,1036034,996267,1033415,1073468,1026458,1048870,1090088
"05003","Ashley, AR",891458,873300,900208,883011,867213,882875,857283,899026,933950
"05005","Baxter, AR",1111028,1078109,1111805,1176392,1228779,1266353,1364529,1453398,1546656
"05007","Benton, AR",9249314,9950604,10886445,11621285,12333862,12707130,13587187,14295679,14871854
"05009","Boone, AR",1121992,1125766,1114139,1166736,1179377,1233159,1281541,1341731,1388315
"05011","Bradley, AR",269496,300383,307293,319587,331475,330122,344353,366050,372746
"05013","Calhoun, AR",334429,269382,292119,316071,356028,357804,365968,372209,393105
"05015","Carroll, AR",663455,673520,736680,815179,808777,784553,840849,863424,872556
"05017","Chicot, AR",322537,347943,336611,279044,250640,286556,292070,293718,302565
"05019","Clark, AR",690239,695569,750542,742978,739781,753201,789279,847790,862641
"05021","Clay, AR",361330,380360,406315,352946,325358,321537,378980,370561,373390
"05023","Cleburne, AR",855543,812276,906013,1030617,820975,730493,746326,715093,725464
"05025","Cleveland, AR",84458,112092,123955,139778,144843,128724,137518,151955,124521
"05027","Columbia, AR",857603,901993,911272,943495,891706,852808,903767,963341,971769
"05029","Conway, AR",957954,925899,1037284,1135901,892342,807966,812007,828516,784076
"05031","Craighead, AR",3717455,3744984,3967400,3951002,4195128,4327904,4516136,4722638,4921447
"05033","Crawford, AR",1496604,1528596,1573360,1596289,1591505,1599545,1641873,1684587,1743608
"05035","Crittenden, AR",1471260,1446071,1596569,1565715,1631316,1644489,1831827,1950070,1996479
"05037","Cross, AR",432076,452763,487864,464181,434077,439293,478311,456904,499891
"05039","Dallas, AR",192027,196036,202740,211050,218507,225605,238273,244772,255812
"05041","Desha, AR",552353,531987,577491,520623,574231,606109,558116,566719,583406
"05043","Drew, AR",556558,576919,598423,585740,618629,645848,660102,660601,671635
"05045","Faulkner, AR",3584511,3652936,3631070,3697763,3678547,3666419,3709794,3881104,3930104
"05047","Franklin, AR",407466,400057,434155,467315,453828,424735,427547,445695,450925
"05049","Fulton, AR",173682,174351,170956,173908,169020,169966,176325,188046,208150
